depth,sector,condition,rg_similarity,semantic_coherence,relational_meaning_persistence,semantic_transport_alignment,recursive_semantic_stability,semantic_reproduction_index,abstraction_semantic_gain,classification
3072,Antisymmetry-Neutral,SemanticTransportCoherence,0.1368,0.1313,0.1302,0.1311,0.1287,0.1278,0.1273,SEMANTIC-FAILED
4096,Antisymmetry-Neutral,SemanticTransportCoherence,0.104,0.1036,0.1031,0.1039,0.097,0.0982,0.0979,SEMANTIC-FAILED
6144,Antisymmetry-Neutral,SemanticTransportCoherence,0.0739,0.0717,0.0712,0.0699,0.0673,0.0674,0.0697,SEMANTIC-FAILED
8192,Antisymmetry-Neutral,SemanticTransportCoherence,0.0555,0.0549,0.0542,0.0547,0.0519,0.0509,0.0518,SEMANTIC-FAILED
12288,Antisymmetry-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9576,0.918,0.93,0.8956,0.9061,0.9,0.9166,SEMANTIC-STABLE
2,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9473,0.9297,0.9204,0.92,0.91,0.881,0.8965,SEMANTIC-STABLE
4,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9587,0.9367,0.9286,0.8924,0.9078,0.9,0.8932,SEMANTIC-STABLE
6,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9445,0.94,0.9253,0.92,0.91,0.8702,0.8933,SEMANTIC-STABLE
8,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9408,0.9336,0.903,0.92,0.8932,0.9,0.8837,SEMANTIC-STABLE
12,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.937,0.9006,0.9013,0.8867,0.91,0.8646,0.8901,SEMANTIC-STABLE
16,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9325,0.9083,0.8886,0.8938,0.8914,0.8879,0.8944,SEMANTIC-BOUNDED
20,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9397,0.9177,0.8943,0.8874,0.8913,0.8787,0.8959,SEMANTIC-BOUNDED
24,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.9272,0.8807,0.8661,0.8754,0.8898,0.8573,0.8568,SEMANTIC-BOUNDED
32,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8905,0.8931,0.8709,0.8707,0.8778,0.8589,0.8734,SEMANTIC-BOUNDED
40,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8941,0.8548,0.8587,0.8528,0.8704,0.8272,0.8367,SEMANTIC-BOUNDED
48,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8626,0.8599,0.8527,0.8302,0.8621,0.8248,0.8286,SEMANTIC-BOUNDED
64,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8363,0.8297,0.8283,0.8044,0.825,0.7858,0.8029,SEMANTIC-BOUNDED
80,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8227,0.8142,0.7946,0.7761,0.7827,0.7637,0.7775,SEMANTIC-PARTIAL
96,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.8027,0.7974,0.7786,0.7673,0.7695,0.7392,0.7691,SEMANTIC-PARTIAL
128,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.7625,0.7561,0.75,0.7395,0.7523,0.7084,0.7181,SEMANTIC-PARTIAL
160,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.7243,0.7057,0.6994,0.7083,0.713,0.6796,0.6856,SEMANTIC-DEGRADING
192,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.6824,0.6751,0.6833,0.652,0.6793,0.6416,0.6656,SEMANTIC-DEGRADING
256,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.637,0.6099,0.6257,0.6029,0.6126,0.591,0.6079,SEMANTIC-DEGRADING
320,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.5807,0.5753,0.5571,0.5655,0.5618,0.5458,0.5704,SEMANTIC-DEGRADING
512,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.4703,0.4641,0.4645,0.4441,0.4549,0.4344,0.4542,SEMANTIC-FAILED
768,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.3733,0.3682,0.3726,0.3618,0.3706,0.348,0.3552,SEMANTIC-FAILED
1024,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.3172,0.3044,0.3061,0.3059,0.3076,0.2939,0.3051,SEMANTIC-FAILED
1536,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.2362,0.2263,0.232,0.2208,0.2278,0.2244,0.2232,SEMANTIC-FAILED
2048,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.186,0.1813,0.1785,0.1802,0.1805,0.1774,0.18,SEMANTIC-FAILED
3072,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.1321,0.1332,0.1278,0.1273,0.13,0.1259,0.127,SEMANTIC-FAILED
4096,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.1051,0.1036,0.1005,0.0975,0.0995,0.0991,0.0998,SEMANTIC-FAILED
6144,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.0715,0.0707,0.069,0.0679,0.0691,0.0667,0.0687,SEMANTIC-FAILED
8192,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.0553,0.0532,0.0542,0.0527,0.0522,0.0518,0.053,SEMANTIC-FAILED
12288,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry-Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.96,0.927,0.9119,0.918,0.9065,0.8974,0.92,SEMANTIC-STABLE
2,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9431,0.94,0.93,0.9171,0.8986,0.8795,0.92,SEMANTIC-STABLE
4,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9519,0.9282,0.93,0.916,0.8882,0.8746,0.92,SEMANTIC-STABLE
6,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9267,0.907,0.93,0.8919,0.8935,0.8932,0.92,SEMANTIC-STABLE
8,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9362,0.9082,0.9098,0.9132,0.9002,0.8867,0.92,SEMANTIC-STABLE
12,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9205,0.9167,0.9152,0.8849,0.8718,0.8875,0.907,SEMANTIC-STABLE
16,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9127,0.8924,0.8815,0.9029,0.8946,0.8866,0.9096,SEMANTIC-BOUNDED
20,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9,0.8995,0.8903,0.8787,0.8629,0.8516,0.9155,SEMANTIC-BOUNDED
24,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.9133,0.8994,0.8673,0.8941,0.8688,0.8382,0.8945,SEMANTIC-BOUNDED
32,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.8843,0.8689,0.8677,0.8709,0.8567,0.8311,0.8812,SEMANTIC-BOUNDED
40,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.8922,0.866,0.8696,0.8313,0.8438,0.8304,0.8819,SEMANTIC-BOUNDED
48,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.8873,0.8557,0.8513,0.8244,0.8232,0.82,0.8377,SEMANTIC-BOUNDED
64,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.849,0.8155,0.8225,0.8191,0.82,0.7936,0.8411,SEMANTIC-BOUNDED
80,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.8225,0.8123,0.8099,0.8049,0.7956,0.7834,0.8241,SEMANTIC-BOUNDED
96,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.8139,0.7883,0.7932,0.7803,0.7727,0.7509,0.7987,SEMANTIC-PARTIAL
128,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.7686,0.7511,0.7383,0.7301,0.7136,0.7074,0.752,SEMANTIC-PARTIAL
160,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.7174,0.7047,0.6909,0.6965,0.6859,0.6792,0.6987,SEMANTIC-DEGRADING
192,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.6891,0.6778,0.6789,0.6562,0.6579,0.6492,0.6843,SEMANTIC-DEGRADING
256,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.6426,0.6213,0.6136,0.6093,0.5929,0.5854,0.6297,SEMANTIC-DEGRADING
320,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.5942,0.5681,0.5681,0.5665,0.5456,0.5561,0.5777,SEMANTIC-DEGRADING
512,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.478,0.4627,0.4551,0.4563,0.4395,0.4404,0.4596,SEMANTIC-FAILED
768,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.3713,0.3648,0.3688,0.3665,0.3547,0.3515,0.3691,SEMANTIC-FAILED
1024,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.3161,0.3014,0.308,0.2997,0.2972,0.3003,0.3083,SEMANTIC-FAILED
1536,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.2328,0.2295,0.2266,0.224,0.2202,0.2231,0.2269,SEMANTIC-FAILED
2048,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.1887,0.1806,0.179,0.1777,0.1774,0.1797,0.1814,SEMANTIC-FAILED
3072,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.1359,0.1322,0.1296,0.1265,0.1272,0.1249,0.1308,SEMANTIC-FAILED
4096,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.1035,0.1023,0.0996,0.1016,0.0975,0.098,0.1015,SEMANTIC-FAILED
6144,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.0712,0.0693,0.0688,0.069,0.0687,0.0669,0.0715,SEMANTIC-FAILED
8192,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.0538,0.0538,0.0526,0.0536,0.0511,0.0522,0.0531,SEMANTIC-FAILED
12288,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry-Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9308,0.9373,0.93,0.9161,0.91,0.9,0.9008,SEMANTIC-STABLE
2,Antisymmetry-Neutral,SemanticReproductionDynamics,0.927,0.94,0.914,0.9061,0.91,0.9,0.9032,SEMANTIC-STABLE
4,Antisymmetry-Neutral,SemanticReproductionDynamics,0.927,0.9303,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9523,0.936,0.905,0.9032,0.8908,0.9,0.8984,SEMANTIC-STABLE
8,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9537,0.9152,0.9221,0.903,0.91,0.9,0.92,SEMANTIC-STABLE
12,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9449,0.9056,0.8927,0.9152,0.9022,0.9,0.8981,SEMANTIC-BOUNDED
16,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9128,0.9074,0.881,0.8876,0.8743,0.9,0.8886,SEMANTIC-BOUNDED
20,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9078,0.8954,0.8844,0.8751,0.8997,0.8991,0.881,SEMANTIC-BOUNDED
24,Antisymmetry-Neutral,SemanticReproductionDynamics,0.9187,0.8878,0.8757,0.8678,0.8826,0.8617,0.8591,SEMANTIC-BOUNDED
32,Antisymmetry-Neutral,SemanticReproductionDynamics,0.8848,0.8759,0.8776,0.864,0.8714,0.8478,0.8678,SEMANTIC-BOUNDED
40,Antisymmetry-Neutral,SemanticReproductionDynamics,0.8714,0.8585,0.8633,0.84,0.8546,0.843,0.8353,SEMANTIC-BOUNDED
48,Antisymmetry-Neutral,SemanticReproductionDynamics,0.8834,0.8535,0.8611,0.8426,0.8354,0.8471,0.8347,SEMANTIC-BOUNDED
64,Antisymmetry-Neutral,SemanticReproductionDynamics,0.8592,0.8317,0.8087,0.8302,0.7965,0.8228,0.8065,SEMANTIC-BOUNDED
80,Antisymmetry-Neutral,SemanticReproductionDynamics,0.8213,0.8225,0.7921,0.7971,0.7928,0.8053,0.8046,SEMANTIC-PARTIAL
96,Antisymmetry-Neutral,SemanticReproductionDynamics,0.7885,0.7905,0.7893,0.7576,0.7785,0.7658,0.7768,SEMANTIC-PARTIAL
128,Antisymmetry-Neutral,SemanticReproductionDynamics,0.7547,0.7308,0.7537,0.7222,0.7207,0.7341,0.7374,SEMANTIC-PARTIAL
160,Antisymmetry-Neutral,SemanticReproductionDynamics,0.7083,0.711,0.703,0.7082,0.7022,0.7098,0.6818,SEMANTIC-PARTIAL
192,Antisymmetry-Neutral,SemanticReproductionDynamics,0.6897,0.6903,0.6837,0.6677,0.6493,0.6585,0.6535,SEMANTIC-DEGRADING
256,Antisymmetry-Neutral,SemanticReproductionDynamics,0.6282,0.6081,0.6127,0.6113,0.6057,0.6076,0.5945,SEMANTIC-DEGRADING
320,Antisymmetry-Neutral,SemanticReproductionDynamics,0.5681,0.5655,0.5547,0.5685,0.5508,0.5532,0.5611,SEMANTIC-DEGRADING
512,Antisymmetry-Neutral,SemanticReproductionDynamics,0.4781,0.4658,0.4646,0.4515,0.4564,0.449,0.4622,SEMANTIC-FAILED
768,Antisymmetry-Neutral,SemanticReproductionDynamics,0.3741,0.3674,0.3613,0.3659,0.3608,0.3575,0.3557,SEMANTIC-FAILED
1024,Antisymmetry-Neutral,SemanticReproductionDynamics,0.3177,0.3077,0.2991,0.3043,0.2944,0.2999,0.2987,SEMANTIC-FAILED
1536,Antisymmetry-Neutral,SemanticReproductionDynamics,0.2288,0.2314,0.2278,0.2249,0.2298,0.2215,0.224,SEMANTIC-FAILED
2048,Antisymmetry-Neutral,SemanticReproductionDynamics,0.1833,0.1834,0.1812,0.1758,0.179,0.176,0.18,SEMANTIC-FAILED
3072,Antisymmetry-Neutral,SemanticReproductionDynamics,0.1313,0.1294,0.1289,0.1262,0.1287,0.1281,0.1278,SEMANTIC-FAILED
4096,Antisymmetry-Neutral,SemanticReproductionDynamics,0.1034,0.1022,0.1006,0.0989,0.1017,0.1011,0.0997,SEMANTIC-FAILED
6144,Antisymmetry-Neutral,SemanticReproductionDynamics,0.072,0.0706,0.0695,0.0675,0.0683,0.0681,0.0685,SEMANTIC-FAILED
8192,Antisymmetry-Neutral,SemanticReproductionDynamics,0.0549,0.0549,0.054,0.0521,0.0537,0.0529,0.0533,SEMANTIC-FAILED
12288,Antisymmetry-Neutral,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry-Neutral,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry-Neutral,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Antisymmetry-Neutral,NullSemanticControl,0.7481,0.7618,0.7679,0.764,0.7207,0.721,0.7266,SEMANTIC-PARTIAL
2,Antisymmetry-Neutral,NullSemanticControl,0.7775,0.7595,0.7632,0.7603,0.7241,0.7386,0.7609,SEMANTIC-PARTIAL
4,Antisymmetry-Neutral,NullSemanticControl,0.7748,0.7778,0.7587,0.7518,0.7301,0.7066,0.7516,SEMANTIC-PARTIAL
6,Antisymmetry-Neutral,NullSemanticControl,0.7634,0.7406,0.763,0.7564,0.7213,0.7265,0.7445,SEMANTIC-PARTIAL
8,Antisymmetry-Neutral,NullSemanticControl,0.7717,0.7553,0.7297,0.7405,0.7329,0.7078,0.728,SEMANTIC-PARTIAL
12,Antisymmetry-Neutral,NullSemanticControl,0.7443,0.7463,0.7251,0.7533,0.7228,0.6992,0.747,SEMANTIC-PARTIAL
16,Antisymmetry-Neutral,NullSemanticControl,0.7579,0.737,0.728,0.7268,0.7015,0.6983,0.7177,SEMANTIC-PARTIAL
20,Antisymmetry-Neutral,NullSemanticControl,0.7363,0.7227,0.7466,0.7197,0.7053,0.6837,0.7083,SEMANTIC-PARTIAL
24,Antisymmetry-Neutral,NullSemanticControl,0.716,0.714,0.7202,0.726,0.7205,0.6939,0.7231,SEMANTIC-PARTIAL
32,Antisymmetry-Neutral,NullSemanticControl,0.7303,0.7175,0.694,0.7023,0.6958,0.6932,0.6936,SEMANTIC-DEGRADING
40,Antisymmetry-Neutral,NullSemanticControl,0.7016,0.7055,0.6904,0.7127,0.669,0.6775,0.6992,SEMANTIC-DEGRADING
48,Antisymmetry-Neutral,NullSemanticControl,0.7121,0.688,0.6779,0.6985,0.6618,0.6597,0.6732,SEMANTIC-DEGRADING
64,Antisymmetry-Neutral,NullSemanticControl,0.6895,0.6638,0.6751,0.6936,0.6679,0.6536,0.6516,SEMANTIC-DEGRADING
80,Antisymmetry-Neutral,NullSemanticControl,0.6708,0.6673,0.6419,0.6731,0.6223,0.6319,0.65,SEMANTIC-DEGRADING
96,Antisymmetry-Neutral,NullSemanticControl,0.6292,0.659,0.6417,0.6267,0.6055,0.593,0.6393,SEMANTIC-DEGRADING
128,Antisymmetry-Neutral,NullSemanticControl,0.6016,0.6124,0.6138,0.6094,0.5752,0.5794,0.6103,SEMANTIC-DEGRADING
160,Antisymmetry-Neutral,NullSemanticControl,0.5818,0.5756,0.5803,0.5665,0.5679,0.5435,0.5776,SEMANTIC-DEGRADING
192,Antisymmetry-Neutral,NullSemanticControl,0.5635,0.558,0.5539,0.5631,0.5409,0.5211,0.5367,SEMANTIC-DEGRADING
256,Antisymmetry-Neutral,NullSemanticControl,0.5082,0.4979,0.5134,0.4975,0.4873,0.4892,0.4814,SEMANTIC-FAILED
320,Antisymmetry-Neutral,NullSemanticControl,0.4674,0.4737,0.4587,0.4678,0.4494,0.4328,0.4577,SEMANTIC-FAILED
512,Antisymmetry-Neutral,NullSemanticControl,0.3777,0.3852,0.3698,0.3756,0.3668,0.3626,0.3778,SEMANTIC-FAILED
768,Antisymmetry-Neutral,NullSemanticControl,0.3009,0.3039,0.2931,0.3043,0.2953,0.2796,0.2903,SEMANTIC-FAILED
1024,Antisymmetry-Neutral,NullSemanticControl,0.2446,0.2473,0.2514,0.2463,0.2368,0.234,0.246,SEMANTIC-FAILED
1536,Antisymmetry-Neutral,NullSemanticControl,0.1849,0.1838,0.1812,0.1927,0.1808,0.1811,0.1831,SEMANTIC-FAILED
2048,Antisymmetry-Neutral,NullSemanticControl,0.1536,0.1472,0.1467,0.1477,0.145,0.145,0.1439,SEMANTIC-FAILED
3072,Antisymmetry-Neutral,NullSemanticControl,0.1086,0.11,0.1059,0.1087,0.1029,0.1022,0.1016,SEMANTIC-FAILED
4096,Antisymmetry-Neutral,NullSemanticControl,0.0831,0.0849,0.0822,0.0832,0.0798,0.081,0.0801,SEMANTIC-FAILED
6144,Antisymmetry-Neutral,NullSemanticControl,0.0587,0.0561,0.0559,0.0585,0.0539,0.055,0.056,SEMANTIC-FAILED
8192,Antisymmetry-Neutral,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
12288,Antisymmetry-Neutral,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry-Neutral,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry-Neutral,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.96,0.94,0.93,0.9097,0.9057,0.9,0.904,SEMANTIC-STABLE
2,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.96,0.94,0.93,0.9002,0.9016,0.8967,0.9082,SEMANTIC-STABLE
4,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.96,0.9285,0.9234,0.8904,0.9019,0.896,0.8914,SEMANTIC-STABLE
6,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.9416,0.9307,0.9204,0.9048,0.9021,0.8961,0.8924,SEMANTIC-STABLE
8,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.9537,0.9238,0.9182,0.898,0.8787,0.8893,0.9157,SEMANTIC-STABLE
12,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.9302,0.9166,0.9289,0.9149,0.8726,0.8955,0.9111,SEMANTIC-STABLE
16,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.945,0.9148,0.9049,0.8932,0.8819,0.8856,0.9025,SEMANTIC-STABLE
20,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.9439,0.9157,0.9037,0.8838,0.8628,0.8786,0.8681,SEMANTIC-STABLE
24,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.9407,0.9141,0.8805,0.8886,0.8842,0.8719,0.8695,SEMANTIC-BOUNDED
32,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8974,0.8921,0.8916,0.8651,0.8514,0.856,0.8756,SEMANTIC-BOUNDED
40,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8984,0.8792,0.8837,0.8472,0.834,0.8261,0.853,SEMANTIC-BOUNDED
48,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8987,0.8613,0.8632,0.8388,0.8231,0.8178,0.8265,SEMANTIC-BOUNDED
64,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8553,0.838,0.8448,0.8003,0.7889,0.8061,0.7974,SEMANTIC-BOUNDED
80,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8284,0.8002,0.7914,0.7879,0.787,0.7662,0.7861,SEMANTIC-PARTIAL
96,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.8204,0.8074,0.7844,0.7787,0.7729,0.7617,0.7665,SEMANTIC-PARTIAL
128,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.7825,0.7553,0.7619,0.7355,0.7216,0.7379,0.746,SEMANTIC-PARTIAL
160,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.7379,0.7246,0.7206,0.6879,0.6787,0.6806,0.7007,SEMANTIC-PARTIAL
192,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.7048,0.6708,0.68,0.6585,0.6481,0.6593,0.6606,SEMANTIC-DEGRADING
256,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.6307,0.6159,0.6158,0.5942,0.5971,0.6035,0.6187,SEMANTIC-DEGRADING
320,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.6021,0.5879,0.5687,0.5638,0.549,0.5621,0.5558,SEMANTIC-DEGRADING
512,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.4809,0.4769,0.4582,0.4483,0.4525,0.4407,0.4533,SEMANTIC-FAILED
768,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.3808,0.3805,0.3626,0.3557,0.3557,0.3653,0.3675,SEMANTIC-FAILED
1024,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.3117,0.306,0.3086,0.2993,0.3008,0.2945,0.3028,SEMANTIC-FAILED
1536,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.2411,0.2371,0.2257,0.2259,0.2235,0.2251,0.2278,SEMANTIC-FAILED
2048,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.1906,0.1821,0.1864,0.1763,0.1773,0.1756,0.1767,SEMANTIC-FAILED
3072,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.138,0.132,0.1308,0.1295,0.1291,0.1262,0.1259,SEMANTIC-FAILED
4096,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.1054,0.1049,0.1036,0.1008,0.0994,0.0975,0.0995,SEMANTIC-FAILED
6144,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.0733,0.0709,0.0697,0.0703,0.0697,0.069,0.0674,SEMANTIC-FAILED
8192,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.0569,0.0535,0.054,0.052,0.0515,0.0525,0.0524,SEMANTIC-FAILED
12288,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Antisymmetry-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.9073,0.9049,0.9,0.92,SEMANTIC-STABLE
2,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.9069,0.9,0.92,SEMANTIC-STABLE
4,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.938,0.93,0.9097,0.91,0.9,0.9101,SEMANTIC-STABLE
8,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9578,0.9293,0.93,0.92,0.91,0.9,0.9039,SEMANTIC-STABLE
12,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9431,0.94,0.9155,0.8899,0.891,0.8671,0.9098,SEMANTIC-STABLE
16,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9525,0.94,0.9139,0.9079,0.907,0.8763,0.9095,SEMANTIC-STABLE
20,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.949,0.936,0.9141,0.875,0.8956,0.873,0.8998,SEMANTIC-STABLE
24,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9158,0.9033,0.8857,0.8851,0.8685,0.8689,0.8733,SEMANTIC-BOUNDED
32,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9329,0.8893,0.8742,0.886,0.8468,0.8535,0.8747,SEMANTIC-BOUNDED
40,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.9105,0.8885,0.8717,0.8718,0.8388,0.8421,0.8764,SEMANTIC-BOUNDED
48,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.902,0.8765,0.8594,0.8482,0.8312,0.8279,0.8409,SEMANTIC-BOUNDED
64,Projection-Antisymmetry-Neutral,RelationalMeaningPersistenceAnalysis,0.8587,0.8547,0.8234,0.8254,0.8126,0.8177,0.8396,SEMANTIC-BOUNDED
