depth,sector,condition,rg_similarity,predictive_stability,anticipatory_coherence,perturbation_forecast_accuracy,future_state_alignment,recursive_prediction_persistence,adaptive_anticipation_gain,classification
40,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.7239,0.7034,0.6906,0.6756,0.6843,0.6809,0.6777,PREDICTIVE-DEGRADING
48,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.6873,0.682,0.6689,0.654,0.6445,0.6449,0.6718,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.6337,0.6133,0.607,0.6044,0.5949,0.5865,0.5923,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.5926,0.577,0.5791,0.5589,0.5449,0.5528,0.5477,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.5506,0.525,0.5268,0.5122,0.5041,0.5169,0.5097,PREDICTIVE-FAILED
128,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.465,0.4612,0.4649,0.4499,0.4487,0.4448,0.4436,PREDICTIVE-FAILED
160,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.4124,0.4095,0.4048,0.3988,0.387,0.3983,0.393,PREDICTIVE-FAILED
192,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.3716,0.3631,0.3625,0.3541,0.3518,0.3506,0.3615,PREDICTIVE-FAILED
256,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.3165,0.3069,0.2985,0.3041,0.2939,0.3011,0.3031,PREDICTIVE-FAILED
320,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.2746,0.269,0.2586,0.259,0.2499,0.2507,0.2516,PREDICTIVE-FAILED
512,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.1864,0.1829,0.1847,0.1768,0.1796,0.1798,0.178,PREDICTIVE-FAILED
768,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.1316,0.1312,0.1312,0.1289,0.1245,0.1275,0.1292,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.102,0.1036,0.103,0.1005,0.0977,0.0969,0.0991,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.0707,0.0708,0.0689,0.0669,0.0678,0.0679,0.0686,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.0547,0.0541,0.0526,0.053,0.0506,0.0514,0.0523,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.96,0.9351,0.9298,0.9179,0.91,0.881,0.9155,PREDICTIVE-STABLE
2,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.9463,0.9122,0.9207,0.9025,0.9068,0.8889,0.9073,PREDICTIVE-STABLE
4,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.9549,0.9122,0.9088,0.8857,0.8967,0.8668,0.8938,PREDICTIVE-STABLE
6,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.9127,0.9136,0.8963,0.8967,0.872,0.854,0.8933,PREDICTIVE-BOUNDED
8,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.8929,0.8835,0.8771,0.8523,0.8493,0.8306,0.8717,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.9011,0.8605,0.8596,0.845,0.8438,0.8209,0.8339,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.856,0.8302,0.8399,0.8194,0.8035,0.8036,0.8206,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.8421,0.7995,0.8267,0.7871,0.8023,0.7668,0.7843,PREDICTIVE-PARTIAL
24,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.798,0.8018,0.7961,0.7804,0.7482,0.7412,0.7765,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.7563,0.7539,0.762,0.7444,0.7182,0.7288,0.7452,PREDICTIVE-PARTIAL
40,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.7272,0.7273,0.7221,0.7034,0.687,0.6808,0.6865,PREDICTIVE-PARTIAL
48,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.6986,0.6705,0.6659,0.6749,0.6563,0.662,0.6542,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.6415,0.6171,0.6146,0.6017,0.5947,0.6069,0.621,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.5966,0.5828,0.5726,0.5619,0.5427,0.5446,0.559,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.5445,0.5255,0.5329,0.5175,0.5247,0.499,0.525,PREDICTIVE-FAILED
128,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.4791,0.4698,0.4711,0.445,0.4476,0.4474,0.4518,PREDICTIVE-FAILED
160,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.4235,0.418,0.41,0.4079,0.3996,0.3912,0.3964,PREDICTIVE-FAILED
192,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.3858,0.3777,0.3706,0.3608,0.3546,0.3522,0.3682,PREDICTIVE-FAILED
256,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.3154,0.3105,0.3053,0.3009,0.2938,0.2932,0.3057,PREDICTIVE-FAILED
320,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.2729,0.2683,0.261,0.2623,0.2562,0.251,0.2566,PREDICTIVE-FAILED
512,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.1873,0.1843,0.1813,0.181,0.1747,0.1756,0.1796,PREDICTIVE-FAILED
768,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.1322,0.1292,0.1309,0.129,0.1264,0.127,0.1263,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.1041,0.1024,0.1039,0.0991,0.0977,0.0968,0.0994,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.072,0.0703,0.069,0.0694,0.0683,0.067,0.0699,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.0548,0.0534,0.0539,0.0517,0.0525,0.0511,0.0524,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.949,0.9343,0.93,0.92,0.9036,0.8713,0.8965,PREDICTIVE-STABLE
2,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.9288,0.9324,0.9122,0.92,0.8838,0.8664,0.907,PREDICTIVE-STABLE
4,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.9127,0.9168,0.8961,0.9118,0.8911,0.8749,0.8908,PREDICTIVE-BOUNDED
6,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.8987,0.897,0.8618,0.8891,0.8614,0.8644,0.8815,PREDICTIVE-BOUNDED
8,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.906,0.8849,0.8799,0.8949,0.8307,0.8377,0.8463,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.8884,0.852,0.8355,0.8422,0.8391,0.8194,0.8317,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.8485,0.8434,0.8256,0.8287,0.8145,0.7732,0.8154,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.8304,0.8192,0.7927,0.7963,0.7925,0.7611,0.7923,PREDICTIVE-PARTIAL
24,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.7913,0.769,0.7702,0.787,0.7672,0.7466,0.7563,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.7741,0.7484,0.7387,0.7294,0.7267,0.704,0.7196,PREDICTIVE-PARTIAL
40,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.713,0.7188,0.7128,0.6916,0.686,0.6705,0.6798,PREDICTIVE-PARTIAL
48,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.6882,0.6825,0.663,0.6593,0.6601,0.657,0.6525,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.6411,0.619,0.6117,0.611,0.5923,0.6003,0.5897,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.5814,0.5654,0.559,0.565,0.5389,0.5455,0.5513,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.552,0.5194,0.5162,0.5311,0.5063,0.5063,0.5064,PREDICTIVE-FAILED
128,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.4756,0.4631,0.4593,0.4659,0.4526,0.4408,0.4495,PREDICTIVE-FAILED
160,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.4193,0.4048,0.405,0.4011,0.3859,0.3929,0.4008,PREDICTIVE-FAILED
192,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.3758,0.3583,0.3631,0.3622,0.3603,0.3479,0.3589,PREDICTIVE-FAILED
256,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.3087,0.3031,0.2989,0.3029,0.2944,0.2901,0.2936,PREDICTIVE-FAILED
320,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.2656,0.2658,0.2553,0.2645,0.2507,0.2503,0.251,PREDICTIVE-FAILED
512,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.1894,0.1852,0.1771,0.179,0.1733,0.1723,0.1746,PREDICTIVE-FAILED
768,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.1322,0.1312,0.1288,0.1302,0.1279,0.1259,0.1249,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.1028,0.0987,0.0995,0.0988,0.0972,0.0969,0.0982,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.0716,0.0709,0.0679,0.0692,0.0687,0.0665,0.0671,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.0551,0.0533,0.0533,0.0536,0.0525,0.0516,0.0514,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,FutureStateReconstruction,0.9564,0.9173,0.9187,0.9095,0.9087,0.8737,0.9,PREDICTIVE-STABLE
2,Projection-Antisymmetry,FutureStateReconstruction,0.9561,0.9005,0.9114,0.8898,0.9088,0.8728,0.904,PREDICTIVE-STABLE
4,Projection-Antisymmetry,FutureStateReconstruction,0.938,0.8958,0.8887,0.8683,0.91,0.8831,0.8799,PREDICTIVE-BOUNDED
6,Projection-Antisymmetry,FutureStateReconstruction,0.9285,0.8939,0.8968,0.8836,0.8667,0.8611,0.8788,PREDICTIVE-BOUNDED
8,Projection-Antisymmetry,FutureStateReconstruction,0.9099,0.8772,0.865,0.8505,0.8745,0.8455,0.8404,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,FutureStateReconstruction,0.8527,0.8606,0.857,0.8331,0.8315,0.8047,0.8439,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,FutureStateReconstruction,0.845,0.8237,0.8157,0.7929,0.8064,0.7919,0.7953,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,FutureStateReconstruction,0.839,0.7938,0.7806,0.7789,0.7775,0.7554,0.771,PREDICTIVE-PARTIAL
24,Projection-Antisymmetry,FutureStateReconstruction,0.7842,0.789,0.7863,0.7507,0.7709,0.7355,0.7545,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,FutureStateReconstruction,0.7549,0.7348,0.7258,0.7165,0.7384,0.6936,0.7145,PREDICTIVE-PARTIAL
40,Projection-Antisymmetry,FutureStateReconstruction,0.7091,0.7033,0.6906,0.6833,0.7039,0.6615,0.7046,PREDICTIVE-DEGRADING
48,Projection-Antisymmetry,FutureStateReconstruction,0.6783,0.662,0.656,0.6551,0.6722,0.6294,0.6488,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,FutureStateReconstruction,0.6202,0.6033,0.6015,0.5908,0.6075,0.5802,0.6019,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,FutureStateReconstruction,0.5847,0.573,0.5654,0.5504,0.561,0.5504,0.5523,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,FutureStateReconstruction,0.5352,0.5307,0.5276,0.5239,0.5184,0.5017,0.5106,PREDICTIVE-FAILED
128,Projection-Antisymmetry,FutureStateReconstruction,0.4794,0.4523,0.4507,0.4494,0.4587,0.449,0.4436,PREDICTIVE-FAILED
160,Projection-Antisymmetry,FutureStateReconstruction,0.4253,0.4068,0.4116,0.403,0.3999,0.3826,0.3968,PREDICTIVE-FAILED
192,Projection-Antisymmetry,FutureStateReconstruction,0.3783,0.374,0.361,0.3619,0.3607,0.3491,0.3607,PREDICTIVE-FAILED
256,Projection-Antisymmetry,FutureStateReconstruction,0.3097,0.298,0.3012,0.3013,0.3006,0.295,0.3014,PREDICTIVE-FAILED
320,Projection-Antisymmetry,FutureStateReconstruction,0.2685,0.266,0.2632,0.2578,0.2603,0.2455,0.2598,PREDICTIVE-FAILED
512,Projection-Antisymmetry,FutureStateReconstruction,0.1822,0.1853,0.1773,0.1792,0.1768,0.1741,0.1773,PREDICTIVE-FAILED
768,Projection-Antisymmetry,FutureStateReconstruction,0.1306,0.1279,0.1264,0.1285,0.131,0.1223,0.1256,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,FutureStateReconstruction,0.1043,0.101,0.1016,0.1004,0.1008,0.0947,0.0977,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,FutureStateReconstruction,0.0717,0.0697,0.068,0.0683,0.0686,0.0662,0.0679,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,FutureStateReconstruction,0.0546,0.0538,0.0522,0.0529,0.0534,0.0521,0.051,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,AdaptivePredictiveModulation,0.9599,0.9287,0.907,0.92,0.8851,0.8668,0.92,PREDICTIVE-STABLE
2,Projection-Antisymmetry,AdaptivePredictiveModulation,0.9258,0.9027,0.897,0.9005,0.8736,0.8757,0.903,PREDICTIVE-BOUNDED
4,Projection-Antisymmetry,AdaptivePredictiveModulation,0.9004,0.9227,0.9113,0.8747,0.872,0.8642,0.9111,PREDICTIVE-STABLE
6,Projection-Antisymmetry,AdaptivePredictiveModulation,0.8889,0.8801,0.8804,0.8897,0.8521,0.8438,0.8985,PREDICTIVE-BOUNDED
8,Projection-Antisymmetry,AdaptivePredictiveModulation,0.8766,0.8923,0.8654,0.8567,0.8614,0.8318,0.8754,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,AdaptivePredictiveModulation,0.8748,0.8626,0.8246,0.8385,0.8277,0.7997,0.8431,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,AdaptivePredictiveModulation,0.8381,0.8343,0.8142,0.7936,0.7916,0.7872,0.8272,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,AdaptivePredictiveModulation,0.8113,0.7883,0.7863,0.7711,0.7603,0.7575,0.8039,PREDICTIVE-PARTIAL
24,Projection-Antisymmetry,AdaptivePredictiveModulation,0.7837,0.7975,0.768,0.7717,0.7683,0.7437,0.7955,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,AdaptivePredictiveModulation,0.7588,0.7274,0.7258,0.7158,0.7138,0.6954,0.7326,PREDICTIVE-PARTIAL
40,Projection-Antisymmetry,AdaptivePredictiveModulation,0.7095,0.7071,0.7037,0.6839,0.6971,0.6646,0.7161,PREDICTIVE-PARTIAL
48,Projection-Antisymmetry,AdaptivePredictiveModulation,0.6786,0.6687,0.6609,0.6466,0.6475,0.6546,0.6711,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,AdaptivePredictiveModulation,0.633,0.6255,0.6211,0.5949,0.5879,0.5976,0.6049,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,AdaptivePredictiveModulation,0.5737,0.5727,0.5582,0.5445,0.5482,0.5364,0.5584,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,AdaptivePredictiveModulation,0.5412,0.5344,0.5102,0.5039,0.5046,0.5041,0.5302,PREDICTIVE-FAILED
128,Projection-Antisymmetry,AdaptivePredictiveModulation,0.4582,0.4519,0.4503,0.441,0.447,0.4316,0.4548,PREDICTIVE-FAILED
160,Projection-Antisymmetry,AdaptivePredictiveModulation,0.4187,0.4133,0.4048,0.3917,0.4026,0.3856,0.4045,PREDICTIVE-FAILED
192,Projection-Antisymmetry,AdaptivePredictiveModulation,0.3779,0.367,0.3586,0.3611,0.3553,0.3437,0.3651,PREDICTIVE-FAILED
256,Projection-Antisymmetry,AdaptivePredictiveModulation,0.3064,0.303,0.2986,0.2952,0.2975,0.2894,0.2983,PREDICTIVE-FAILED
320,Projection-Antisymmetry,AdaptivePredictiveModulation,0.2634,0.2655,0.2569,0.2577,0.2493,0.2496,0.2595,PREDICTIVE-FAILED
512,Projection-Antisymmetry,AdaptivePredictiveModulation,0.1826,0.185,0.1803,0.1761,0.1743,0.1766,0.1823,PREDICTIVE-FAILED
768,Projection-Antisymmetry,AdaptivePredictiveModulation,0.1332,0.1303,0.1273,0.1248,0.125,0.1213,0.127,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,AdaptivePredictiveModulation,0.1024,0.0998,0.0998,0.0979,0.0954,0.0944,0.1015,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,AdaptivePredictiveModulation,0.0703,0.0691,0.07,0.0684,0.0661,0.0668,0.0708,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,AdaptivePredictiveModulation,0.0537,0.0523,0.0516,0.0511,0.0525,0.0507,0.0531,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.9282,0.94,0.9085,0.8895,0.8781,0.9,0.92,PREDICTIVE-STABLE
2,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.915,0.9185,0.93,0.8841,0.8853,0.8989,0.8835,PREDICTIVE-STABLE
4,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.9142,0.9296,0.8968,0.8667,0.8677,0.8654,0.8939,PREDICTIVE-BOUNDED
6,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.8817,0.8875,0.8873,0.865,0.8518,0.8885,0.8781,PREDICTIVE-BOUNDED
8,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.887,0.8771,0.8913,0.8547,0.848,0.8703,0.8652,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.8604,0.8478,0.8567,0.8505,0.8089,0.8285,0.8477,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.8511,0.8205,0.8172,0.8233,0.7978,0.7971,0.8255,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.8266,0.8244,0.8184,0.7869,0.7654,0.7786,0.7708,PREDICTIVE-BOUNDED
24,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.7833,0.7934,0.7667,0.7757,0.7676,0.7597,0.7568,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.7473,0.7543,0.7449,0.7201,0.715,0.7355,0.7163,PREDICTIVE-PARTIAL
40,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.7292,0.7053,0.7141,0.695,0.6783,0.6889,0.6926,PREDICTIVE-PARTIAL
48,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.6804,0.674,0.6872,0.6497,0.6427,0.6519,0.6549,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.6316,0.6346,0.6228,0.5914,0.6004,0.5989,0.6045,PREDICTIVE-DEGRADING
80,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.5816,0.5627,0.5782,0.5473,0.5578,0.5531,0.5646,PREDICTIVE-DEGRADING
96,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.542,0.5281,0.5269,0.5124,0.5002,0.5096,0.5234,PREDICTIVE-FAILED
128,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.4657,0.4587,0.4596,0.4432,0.4513,0.4405,0.4569,PREDICTIVE-FAILED
160,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.4098,0.4064,0.4125,0.4019,0.402,0.3994,0.3951,PREDICTIVE-FAILED
192,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.3683,0.3775,0.3685,0.3569,0.3605,0.3612,0.3588,PREDICTIVE-FAILED
256,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.3048,0.3132,0.3028,0.3017,0.2915,0.2935,0.2998,PREDICTIVE-FAILED
320,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.2606,0.2621,0.2577,0.2596,0.2504,0.2605,0.2605,PREDICTIVE-FAILED
512,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.1825,0.1857,0.1783,0.1747,0.1729,0.1818,0.1791,PREDICTIVE-FAILED
768,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.1306,0.1305,0.128,0.1249,0.1258,0.1289,0.1272,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.1009,0.1019,0.1018,0.0965,0.0966,0.1002,0.0967,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.0705,0.0718,0.0695,0.0679,0.0672,0.0673,0.0694,PREDICTIVE-FAILED
2048,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.0546,0.0533,0.0534,0.0513,0.0521,0.0519,0.0531,PREDICTIVE-FAILED
3072,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection-Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,NullPredictiveControl,0.748,0.7367,0.7588,0.7568,0.7227,0.7299,0.7193,PREDICTIVE-PARTIAL
2,Projection-Antisymmetry,NullPredictiveControl,0.7548,0.7525,0.744,0.7596,0.7304,0.7211,0.7341,PREDICTIVE-PARTIAL
4,Projection-Antisymmetry,NullPredictiveControl,0.7528,0.7257,0.7344,0.7185,0.7129,0.7026,0.7373,PREDICTIVE-PARTIAL
6,Projection-Antisymmetry,NullPredictiveControl,0.7228,0.7369,0.7061,0.7381,0.6844,0.6914,0.7001,PREDICTIVE-PARTIAL
8,Projection-Antisymmetry,NullPredictiveControl,0.7061,0.6967,0.7095,0.7133,0.6715,0.6687,0.6925,PREDICTIVE-DEGRADING
12,Projection-Antisymmetry,NullPredictiveControl,0.7036,0.7065,0.6959,0.7097,0.6744,0.662,0.6745,PREDICTIVE-DEGRADING
16,Projection-Antisymmetry,NullPredictiveControl,0.6592,0.6812,0.6683,0.6769,0.647,0.6428,0.663,PREDICTIVE-DEGRADING
20,Projection-Antisymmetry,NullPredictiveControl,0.6686,0.6497,0.6589,0.6495,0.632,0.6327,0.6321,PREDICTIVE-DEGRADING
24,Projection-Antisymmetry,NullPredictiveControl,0.6435,0.6343,0.6175,0.6225,0.6073,0.6095,0.628,PREDICTIVE-DEGRADING
32,Projection-Antisymmetry,NullPredictiveControl,0.6101,0.6056,0.5896,0.6126,0.5753,0.5832,0.5982,PREDICTIVE-DEGRADING
40,Projection-Antisymmetry,NullPredictiveControl,0.5704,0.5619,0.568,0.5868,0.5435,0.5303,0.5755,PREDICTIVE-DEGRADING
48,Projection-Antisymmetry,NullPredictiveControl,0.5477,0.5624,0.5454,0.5459,0.515,0.5066,0.5335,PREDICTIVE-DEGRADING
64,Projection-Antisymmetry,NullPredictiveControl,0.5013,0.5069,0.4909,0.5007,0.4744,0.4867,0.4961,PREDICTIVE-FAILED
80,Projection-Antisymmetry,NullPredictiveControl,0.4488,0.4578,0.4629,0.4598,0.4406,0.4425,0.4474,PREDICTIVE-FAILED
96,Projection-Antisymmetry,NullPredictiveControl,0.429,0.4323,0.4332,0.4266,0.4121,0.4069,0.4077,PREDICTIVE-FAILED
128,Projection-Antisymmetry,NullPredictiveControl,0.3744,0.3658,0.3649,0.384,0.3593,0.3577,0.3686,PREDICTIVE-FAILED
160,Projection-Antisymmetry,NullPredictiveControl,0.3374,0.3284,0.3232,0.3325,0.3199,0.3075,0.3224,PREDICTIVE-FAILED
192,Projection-Antisymmetry,NullPredictiveControl,0.2947,0.2984,0.2972,0.2932,0.2938,0.2814,0.2975,PREDICTIVE-FAILED
256,Projection-Antisymmetry,NullPredictiveControl,0.2539,0.2504,0.2429,0.2498,0.2387,0.2374,0.2366,PREDICTIVE-FAILED
320,Projection-Antisymmetry,NullPredictiveControl,0.2159,0.2092,0.2149,0.2092,0.2058,0.1997,0.2089,PREDICTIVE-FAILED
512,Projection-Antisymmetry,NullPredictiveControl,0.1491,0.1498,0.1501,0.1524,0.1438,0.139,0.1473,PREDICTIVE-FAILED
768,Projection-Antisymmetry,NullPredictiveControl,0.1029,0.1045,0.1044,0.1078,0.0993,0.1008,0.1015,PREDICTIVE-FAILED
1024,Projection-Antisymmetry,NullPredictiveControl,0.0827,0.0815,0.0819,0.0805,0.0782,0.0773,0.081,PREDICTIVE-FAILED
1536,Projection-Antisymmetry,NullPredictiveControl,0.0577,0.0579,0.0572,0.056,0.0539,0.0541,0.0555,PREDICTIVE-FAILED
