depth,sector,condition,rg_similarity,identity_persistence,differentiation_coherence,lineage_stability,boundary_integrity,coexistence_stability,transport_identity_alignment,classification
1536,Projection-Antisymmetry,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,IdentityBoundaryStability,0.9246,0.9022,0.9178,0.8848,0.91,0.8582,0.9086,IDENTITY-STABLE
2,Projection-Antisymmetry,IdentityBoundaryStability,0.9277,0.8927,0.8837,0.9003,0.91,0.8579,0.8899,IDENTITY-BOUNDED
4,Projection-Antisymmetry,IdentityBoundaryStability,0.8898,0.8735,0.8639,0.861,0.8833,0.8359,0.8556,IDENTITY-BOUNDED
6,Projection-Antisymmetry,IdentityBoundaryStability,0.8978,0.8704,0.8688,0.8456,0.8512,0.8209,0.857,IDENTITY-BOUNDED
8,Projection-Antisymmetry,IdentityBoundaryStability,0.8552,0.8401,0.8349,0.811,0.8386,0.8039,0.8341,IDENTITY-BOUNDED
12,Projection-Antisymmetry,IdentityBoundaryStability,0.8222,0.8108,0.8017,0.7787,0.7825,0.7896,0.8072,IDENTITY-BOUNDED
16,Projection-Antisymmetry,IdentityBoundaryStability,0.7947,0.7853,0.7825,0.7725,0.7527,0.7462,0.7689,IDENTITY-PARTIAL
20,Projection-Antisymmetry,IdentityBoundaryStability,0.7673,0.7475,0.7528,0.7172,0.7364,0.7291,0.7159,IDENTITY-PARTIAL
24,Projection-Antisymmetry,IdentityBoundaryStability,0.7387,0.7311,0.7155,0.7025,0.714,0.6889,0.7175,IDENTITY-PARTIAL
32,Projection-Antisymmetry,IdentityBoundaryStability,0.6974,0.6792,0.672,0.6553,0.6622,0.6473,0.6615,IDENTITY-DEGRADING
40,Projection-Antisymmetry,IdentityBoundaryStability,0.6397,0.6123,0.6034,0.6017,0.6205,0.5945,0.6212,IDENTITY-DEGRADING
48,Projection-Antisymmetry,IdentityBoundaryStability,0.6029,0.5933,0.5781,0.5698,0.5798,0.5626,0.5719,IDENTITY-DEGRADING
64,Projection-Antisymmetry,IdentityBoundaryStability,0.5355,0.512,0.514,0.5171,0.5265,0.5077,0.5028,IDENTITY-FAILED
80,Projection-Antisymmetry,IdentityBoundaryStability,0.4908,0.4717,0.4622,0.464,0.4687,0.447,0.4505,IDENTITY-FAILED
96,Projection-Antisymmetry,IdentityBoundaryStability,0.4479,0.4275,0.4279,0.4241,0.427,0.4063,0.4185,IDENTITY-FAILED
128,Projection-Antisymmetry,IdentityBoundaryStability,0.3776,0.358,0.3629,0.3512,0.3576,0.3454,0.3619,IDENTITY-FAILED
160,Projection-Antisymmetry,IdentityBoundaryStability,0.3189,0.3135,0.3054,0.3136,0.306,0.2954,0.3081,IDENTITY-FAILED
192,Projection-Antisymmetry,IdentityBoundaryStability,0.2916,0.2751,0.2735,0.2721,0.2717,0.2718,0.2669,IDENTITY-FAILED
256,Projection-Antisymmetry,IdentityBoundaryStability,0.2281,0.2251,0.227,0.2216,0.2219,0.2176,0.225,IDENTITY-FAILED
320,Projection-Antisymmetry,IdentityBoundaryStability,0.1909,0.1909,0.1879,0.1857,0.1916,0.1841,0.1854,IDENTITY-FAILED
512,Projection-Antisymmetry,IdentityBoundaryStability,0.1319,0.1292,0.1276,0.1279,0.1243,0.1215,0.1259,IDENTITY-FAILED
768,Projection-Antisymmetry,IdentityBoundaryStability,0.0939,0.0903,0.0871,0.0866,0.0882,0.0863,0.089,IDENTITY-FAILED
1024,Projection-Antisymmetry,IdentityBoundaryStability,0.0698,0.0695,0.0674,0.0676,0.0693,0.0654,0.0684,IDENTITY-FAILED
1536,Projection-Antisymmetry,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,TransportIdentityPreservation,0.9479,0.9071,0.9153,0.8862,0.896,0.8648,0.92,IDENTITY-STABLE
2,Projection-Antisymmetry,TransportIdentityPreservation,0.9126,0.8975,0.8997,0.9,0.8664,0.8565,0.9192,IDENTITY-BOUNDED
4,Projection-Antisymmetry,TransportIdentityPreservation,0.9198,0.8834,0.8925,0.8457,0.8731,0.8428,0.8821,IDENTITY-BOUNDED
6,Projection-Antisymmetry,TransportIdentityPreservation,0.8965,0.8729,0.8485,0.8283,0.8334,0.8409,0.8671,IDENTITY-BOUNDED
8,Projection-Antisymmetry,TransportIdentityPreservation,0.8523,0.8421,0.8524,0.8262,0.8048,0.8051,0.8278,IDENTITY-BOUNDED
12,Projection-Antisymmetry,TransportIdentityPreservation,0.8208,0.8054,0.8071,0.777,0.7667,0.7581,0.8212,IDENTITY-BOUNDED
16,Projection-Antisymmetry,TransportIdentityPreservation,0.8021,0.7645,0.7651,0.7424,0.7387,0.7371,0.7747,IDENTITY-PARTIAL
20,Projection-Antisymmetry,TransportIdentityPreservation,0.7726,0.7388,0.741,0.7307,0.7228,0.713,0.7393,IDENTITY-PARTIAL
24,Projection-Antisymmetry,TransportIdentityPreservation,0.7455,0.7127,0.7188,0.69,0.684,0.6948,0.7122,IDENTITY-PARTIAL
32,Projection-Antisymmetry,TransportIdentityPreservation,0.6715,0.671,0.6555,0.645,0.6443,0.6268,0.6778,IDENTITY-DEGRADING
40,Projection-Antisymmetry,TransportIdentityPreservation,0.6343,0.6103,0.6239,0.6181,0.5906,0.6087,0.6238,IDENTITY-DEGRADING
48,Projection-Antisymmetry,TransportIdentityPreservation,0.5996,0.5839,0.5751,0.5781,0.554,0.5574,0.5863,IDENTITY-DEGRADING
64,Projection-Antisymmetry,TransportIdentityPreservation,0.5266,0.5136,0.5229,0.505,0.515,0.4963,0.5118,IDENTITY-FAILED
80,Projection-Antisymmetry,TransportIdentityPreservation,0.4801,0.475,0.4595,0.4605,0.4582,0.4392,0.4764,IDENTITY-FAILED
96,Projection-Antisymmetry,TransportIdentityPreservation,0.4452,0.4295,0.4222,0.4232,0.4195,0.4047,0.4309,IDENTITY-FAILED
128,Projection-Antisymmetry,TransportIdentityPreservation,0.3687,0.3551,0.356,0.3521,0.3571,0.352,0.3597,IDENTITY-FAILED
160,Projection-Antisymmetry,TransportIdentityPreservation,0.3177,0.3116,0.3063,0.3056,0.3051,0.3077,0.3117,IDENTITY-FAILED
192,Projection-Antisymmetry,TransportIdentityPreservation,0.289,0.2792,0.2714,0.2743,0.2717,0.2672,0.2816,IDENTITY-FAILED
256,Projection-Antisymmetry,TransportIdentityPreservation,0.2279,0.2269,0.2223,0.2164,0.2193,0.2177,0.2236,IDENTITY-FAILED
320,Projection-Antisymmetry,TransportIdentityPreservation,0.1972,0.193,0.1904,0.1868,0.1827,0.183,0.1932,IDENTITY-FAILED
512,Projection-Antisymmetry,TransportIdentityPreservation,0.1304,0.1286,0.1249,0.1231,0.126,0.1251,0.1298,IDENTITY-FAILED
768,Projection-Antisymmetry,TransportIdentityPreservation,0.092,0.089,0.0887,0.0897,0.0881,0.0849,0.0886,IDENTITY-FAILED
1024,Projection-Antisymmetry,TransportIdentityPreservation,0.0696,0.0678,0.0682,0.0687,0.0659,0.0665,0.0677,IDENTITY-FAILED
1536,Projection-Antisymmetry,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,CompositeIdentityCoexistence,0.9316,0.9127,0.898,0.9077,0.8749,0.8813,0.8934,IDENTITY-BOUNDED
2,Projection-Antisymmetry,CompositeIdentityCoexistence,0.9192,0.9019,0.9109,0.891,0.8645,0.893,0.8935,IDENTITY-STABLE
4,Projection-Antisymmetry,CompositeIdentityCoexistence,0.8818,0.8755,0.8826,0.8658,0.851,0.8487,0.8817,IDENTITY-BOUNDED
6,Projection-Antisymmetry,CompositeIdentityCoexistence,0.8726,0.8648,0.8482,0.8318,0.8445,0.8454,0.8399,IDENTITY-BOUNDED
8,Projection-Antisymmetry,CompositeIdentityCoexistence,0.8674,0.8576,0.8236,0.8083,0.83,0.8294,0.8253,IDENTITY-BOUNDED
12,Projection-Antisymmetry,CompositeIdentityCoexistence,0.8161,0.7975,0.8175,0.8029,0.7945,0.7972,0.8073,IDENTITY-PARTIAL
16,Projection-Antisymmetry,CompositeIdentityCoexistence,0.7969,0.7736,0.758,0.7568,0.7572,0.772,0.7595,IDENTITY-PARTIAL
20,Projection-Antisymmetry,CompositeIdentityCoexistence,0.7592,0.7489,0.7477,0.7272,0.7118,0.7314,0.738,IDENTITY-PARTIAL
24,Projection-Antisymmetry,CompositeIdentityCoexistence,0.7313,0.7218,0.7124,0.7044,0.6849,0.7146,0.7136,IDENTITY-PARTIAL
32,Projection-Antisymmetry,CompositeIdentityCoexistence,0.6868,0.6538,0.6483,0.6529,0.6377,0.6646,0.6492,IDENTITY-DEGRADING
40,Projection-Antisymmetry,CompositeIdentityCoexistence,0.6395,0.6198,0.6115,0.6148,0.5897,0.5984,0.6152,IDENTITY-DEGRADING
48,Projection-Antisymmetry,CompositeIdentityCoexistence,0.5978,0.5762,0.5794,0.582,0.5685,0.5818,0.5849,IDENTITY-DEGRADING
64,Projection-Antisymmetry,CompositeIdentityCoexistence,0.5385,0.5305,0.5083,0.5032,0.4973,0.5028,0.5153,IDENTITY-FAILED
80,Projection-Antisymmetry,CompositeIdentityCoexistence,0.4703,0.4725,0.4672,0.4613,0.4512,0.4629,0.4498,IDENTITY-FAILED
96,Projection-Antisymmetry,CompositeIdentityCoexistence,0.4437,0.4328,0.4208,0.4137,0.4068,0.4202,0.4189,IDENTITY-FAILED
128,Projection-Antisymmetry,CompositeIdentityCoexistence,0.361,0.3654,0.3565,0.3579,0.3532,0.3512,0.3537,IDENTITY-FAILED
160,Projection-Antisymmetry,CompositeIdentityCoexistence,0.3259,0.3178,0.318,0.311,0.2991,0.3061,0.3028,IDENTITY-FAILED
192,Projection-Antisymmetry,CompositeIdentityCoexistence,0.2827,0.2802,0.2739,0.2683,0.2635,0.2683,0.2748,IDENTITY-FAILED
256,Projection-Antisymmetry,CompositeIdentityCoexistence,0.2311,0.2218,0.2194,0.2248,0.2146,0.2165,0.2209,IDENTITY-FAILED
320,Projection-Antisymmetry,CompositeIdentityCoexistence,0.1953,0.186,0.1868,0.1867,0.183,0.1841,0.1854,IDENTITY-FAILED
512,Projection-Antisymmetry,CompositeIdentityCoexistence,0.1326,0.1274,0.1297,0.1255,0.1257,0.1246,0.1273,IDENTITY-FAILED
768,Projection-Antisymmetry,CompositeIdentityCoexistence,0.0927,0.0907,0.0895,0.0861,0.0857,0.0882,0.0859,IDENTITY-FAILED
1024,Projection-Antisymmetry,CompositeIdentityCoexistence,0.0712,0.0687,0.068,0.0681,0.0668,0.0661,0.066,IDENTITY-FAILED
1536,Projection-Antisymmetry,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,NullIdentityControl,0.755,0.7459,0.7227,0.7554,0.7344,0.698,0.7448,IDENTITY-PARTIAL
2,Projection-Antisymmetry,NullIdentityControl,0.7437,0.7445,0.7208,0.7282,0.7167,0.6887,0.7077,IDENTITY-PARTIAL
4,Projection-Antisymmetry,NullIdentityControl,0.7122,0.722,0.7058,0.7377,0.6839,0.6767,0.7134,IDENTITY-PARTIAL
6,Projection-Antisymmetry,NullIdentityControl,0.691,0.7048,0.681,0.7199,0.6625,0.6547,0.6808,IDENTITY-DEGRADING
8,Projection-Antisymmetry,NullIdentityControl,0.7023,0.6937,0.6725,0.6905,0.6528,0.6683,0.6668,IDENTITY-DEGRADING
12,Projection-Antisymmetry,NullIdentityControl,0.6653,0.6648,0.6563,0.6593,0.6426,0.6372,0.6387,IDENTITY-DEGRADING
16,Projection-Antisymmetry,NullIdentityControl,0.6396,0.6254,0.6236,0.6486,0.6109,0.6034,0.629,IDENTITY-DEGRADING
20,Projection-Antisymmetry,NullIdentityControl,0.6067,0.5922,0.5966,0.5986,0.5891,0.5676,0.6032,IDENTITY-DEGRADING
24,Projection-Antisymmetry,NullIdentityControl,0.5959,0.5948,0.5913,0.5748,0.5507,0.5519,0.5602,IDENTITY-DEGRADING
32,Projection-Antisymmetry,NullIdentityControl,0.5562,0.5361,0.5387,0.5522,0.5156,0.5284,0.5341,IDENTITY-FAILED
40,Projection-Antisymmetry,NullIdentityControl,0.5146,0.4975,0.5084,0.5214,0.4891,0.4849,0.489,IDENTITY-FAILED
48,Projection-Antisymmetry,NullIdentityControl,0.4878,0.4761,0.472,0.4768,0.4636,0.4573,0.4656,IDENTITY-FAILED
64,Projection-Antisymmetry,NullIdentityControl,0.4285,0.43,0.4094,0.4193,0.4113,0.4012,0.4078,IDENTITY-FAILED
80,Projection-Antisymmetry,NullIdentityControl,0.3866,0.379,0.3761,0.375,0.3772,0.3634,0.3783,IDENTITY-FAILED
96,Projection-Antisymmetry,NullIdentityControl,0.3474,0.3393,0.3371,0.3407,0.33,0.3332,0.3453,IDENTITY-FAILED
128,Projection-Antisymmetry,NullIdentityControl,0.303,0.2909,0.285,0.2894,0.2794,0.2793,0.2952,IDENTITY-FAILED
160,Projection-Antisymmetry,NullIdentityControl,0.2531,0.2578,0.256,0.2564,0.2433,0.246,0.2435,IDENTITY-FAILED
192,Projection-Antisymmetry,NullIdentityControl,0.2284,0.2263,0.2269,0.2213,0.2168,0.22,0.2251,IDENTITY-FAILED
256,Projection-Antisymmetry,NullIdentityControl,0.1787,0.1816,0.1808,0.1862,0.1754,0.1778,0.1804,IDENTITY-FAILED
320,Projection-Antisymmetry,NullIdentityControl,0.1522,0.1546,0.1547,0.153,0.1492,0.1457,0.1542,IDENTITY-FAILED
512,Projection-Antisymmetry,NullIdentityControl,0.1033,0.1033,0.1055,0.1044,0.1013,0.097,0.0994,IDENTITY-FAILED
768,Projection-Antisymmetry,NullIdentityControl,0.0747,0.0732,0.0727,0.0714,0.072,0.0677,0.0722,IDENTITY-FAILED
1024,Projection-Antisymmetry,NullIdentityControl,0.0558,0.0562,0.0544,0.0562,0.0539,0.0535,0.0557,IDENTITY-FAILED
1536,Projection-Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Neutral,RecursiveIdentityTracking,0.9375,0.927,0.9187,0.9041,0.8863,0.8973,0.8781,IDENTITY-STABLE
2,Projection-Neutral,RecursiveIdentityTracking,0.9226,0.915,0.8908,0.8821,0.894,0.8654,0.8943,IDENTITY-BOUNDED
4,Projection-Neutral,RecursiveIdentityTracking,0.8999,0.8766,0.8996,0.8678,0.8648,0.8592,0.8743,IDENTITY-BOUNDED
6,Projection-Neutral,RecursiveIdentityTracking,0.8833,0.8874,0.8623,0.8463,0.8414,0.8472,0.862,IDENTITY-BOUNDED
8,Projection-Neutral,RecursiveIdentityTracking,0.8782,0.8424,0.8618,0.8342,0.8122,0.8207,0.8394,IDENTITY-BOUNDED
12,Projection-Neutral,RecursiveIdentityTracking,0.8422,0.8217,0.8043,0.805,0.7672,0.7871,0.787,IDENTITY-BOUNDED
16,Projection-Neutral,RecursiveIdentityTracking,0.7939,0.788,0.7693,0.7549,0.7436,0.742,0.7677,IDENTITY-PARTIAL
20,Projection-Neutral,RecursiveIdentityTracking,0.7746,0.748,0.7518,0.7296,0.7253,0.7256,0.7169,IDENTITY-PARTIAL
24,Projection-Neutral,RecursiveIdentityTracking,0.7407,0.7266,0.7272,0.6909,0.6939,0.687,0.7109,IDENTITY-PARTIAL
32,Projection-Neutral,RecursiveIdentityTracking,0.6808,0.6818,0.6785,0.6605,0.6412,0.6459,0.6643,IDENTITY-DEGRADING
40,Projection-Neutral,RecursiveIdentityTracking,0.6383,0.6262,0.636,0.6125,0.5902,0.6041,0.5989,IDENTITY-DEGRADING
48,Projection-Neutral,RecursiveIdentityTracking,0.6055,0.5883,0.5875,0.5641,0.5738,0.5759,0.5746,IDENTITY-DEGRADING
64,Projection-Neutral,RecursiveIdentityTracking,0.5298,0.5189,0.5187,0.517,0.5098,0.4939,0.5203,IDENTITY-FAILED
80,Projection-Neutral,RecursiveIdentityTracking,0.4877,0.4749,0.4691,0.4592,0.4538,0.4599,0.4538,IDENTITY-FAILED
96,Projection-Neutral,RecursiveIdentityTracking,0.4518,0.4291,0.4225,0.4233,0.4117,0.4212,0.4169,IDENTITY-FAILED
128,Projection-Neutral,RecursiveIdentityTracking,0.3824,0.3677,0.368,0.3515,0.3437,0.3433,0.348,IDENTITY-FAILED
160,Projection-Neutral,RecursiveIdentityTracking,0.3275,0.3251,0.3191,0.3079,0.3044,0.3001,0.3027,IDENTITY-FAILED
192,Projection-Neutral,RecursiveIdentityTracking,0.286,0.2814,0.2829,0.2727,0.27,0.2735,0.2764,IDENTITY-FAILED
256,Projection-Neutral,RecursiveIdentityTracking,0.2293,0.2323,0.2213,0.2216,0.2154,0.2182,0.2159,IDENTITY-FAILED
320,Projection-Neutral,RecursiveIdentityTracking,0.1975,0.1918,0.1867,0.1859,0.1806,0.1848,0.1883,IDENTITY-FAILED
512,Projection-Neutral,RecursiveIdentityTracking,0.134,0.1319,0.1301,0.1262,0.1238,0.1252,0.1237,IDENTITY-FAILED
768,Projection-Neutral,RecursiveIdentityTracking,0.0936,0.0893,0.091,0.0897,0.0872,0.0872,0.0894,IDENTITY-FAILED
1024,Projection-Neutral,RecursiveIdentityTracking,0.0727,0.0707,0.0702,0.0674,0.0673,0.0662,0.066,IDENTITY-FAILED
1536,Projection-Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Neutral,ModeDifferentiationAnalysis,0.9401,0.9233,0.9149,0.912,0.8768,0.8972,0.9014,IDENTITY-STABLE
2,Projection-Neutral,ModeDifferentiationAnalysis,0.9485,0.9155,0.8984,0.9041,0.8669,0.8783,0.8823,IDENTITY-BOUNDED
4,Projection-Neutral,ModeDifferentiationAnalysis,0.9098,0.9037,0.8972,0.8706,0.8606,0.8465,0.887,IDENTITY-BOUNDED
6,Projection-Neutral,ModeDifferentiationAnalysis,0.8847,0.8866,0.8724,0.8515,0.8333,0.8287,0.8728,IDENTITY-BOUNDED
8,Projection-Neutral,ModeDifferentiationAnalysis,0.889,0.8544,0.8419,0.8489,0.8309,0.826,0.8456,IDENTITY-BOUNDED
12,Projection-Neutral,ModeDifferentiationAnalysis,0.8437,0.8388,0.8093,0.7972,0.786,0.7947,0.7894,IDENTITY-BOUNDED
16,Projection-Neutral,ModeDifferentiationAnalysis,0.7936,0.7893,0.7884,0.754,0.7475,0.7581,0.7822,IDENTITY-PARTIAL
20,Projection-Neutral,ModeDifferentiationAnalysis,0.7638,0.7501,0.7412,0.7365,0.717,0.7072,0.7467,IDENTITY-PARTIAL
24,Projection-Neutral,ModeDifferentiationAnalysis,0.7536,0.728,0.7341,0.7232,0.6863,0.6827,0.7113,IDENTITY-PARTIAL
32,Projection-Neutral,ModeDifferentiationAnalysis,0.6867,0.6876,0.6768,0.6715,0.6559,0.6419,0.6717,IDENTITY-DEGRADING
40,Projection-Neutral,ModeDifferentiationAnalysis,0.6455,0.6501,0.6303,0.6066,0.6125,0.6081,0.6244,IDENTITY-DEGRADING
48,Projection-Neutral,ModeDifferentiationAnalysis,0.6143,0.6046,0.5944,0.5737,0.5634,0.5773,0.5852,IDENTITY-DEGRADING
64,Projection-Neutral,ModeDifferentiationAnalysis,0.5341,0.5266,0.5243,0.5243,0.5186,0.504,0.5053,IDENTITY-FAILED
80,Projection-Neutral,ModeDifferentiationAnalysis,0.4958,0.4801,0.4818,0.4692,0.45,0.4483,0.4741,IDENTITY-FAILED
96,Projection-Neutral,ModeDifferentiationAnalysis,0.4503,0.4328,0.4386,0.4297,0.4271,0.423,0.4193,IDENTITY-FAILED
128,Projection-Neutral,ModeDifferentiationAnalysis,0.374,0.3666,0.3632,0.3516,0.3584,0.3542,0.3542,IDENTITY-FAILED
160,Projection-Neutral,ModeDifferentiationAnalysis,0.3244,0.3169,0.3188,0.3054,0.3062,0.3049,0.3119,IDENTITY-FAILED
192,Projection-Neutral,ModeDifferentiationAnalysis,0.2843,0.2859,0.2779,0.2765,0.2776,0.2633,0.279,IDENTITY-FAILED
256,Projection-Neutral,ModeDifferentiationAnalysis,0.2316,0.2315,0.2265,0.2222,0.2208,0.2222,0.2223,IDENTITY-FAILED
320,Projection-Neutral,ModeDifferentiationAnalysis,0.1983,0.19,0.1945,0.1888,0.1863,0.1865,0.1852,IDENTITY-FAILED
512,Projection-Neutral,ModeDifferentiationAnalysis,0.1339,0.1326,0.1285,0.1261,0.1283,0.1268,0.1268,IDENTITY-FAILED
768,Projection-Neutral,ModeDifferentiationAnalysis,0.0945,0.0936,0.0923,0.089,0.0867,0.0852,0.0877,IDENTITY-FAILED
1024,Projection-Neutral,ModeDifferentiationAnalysis,0.0707,0.0713,0.0694,0.0669,0.0666,0.0673,0.0684,IDENTITY-FAILED
1536,Projection-Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Neutral,LineagePersistenceMapping,0.9436,0.9341,0.8965,0.9002,0.8939,0.8768,0.8873,IDENTITY-BOUNDED
2,Projection-Neutral,LineagePersistenceMapping,0.9454,0.9203,0.8882,0.92,0.8941,0.8817,0.8993,IDENTITY-BOUNDED
4,Projection-Neutral,LineagePersistenceMapping,0.9307,0.9045,0.877,0.8813,0.8738,0.8529,0.8824,IDENTITY-BOUNDED
6,Projection-Neutral,LineagePersistenceMapping,0.8981,0.8552,0.8542,0.8509,0.8322,0.8153,0.8537,IDENTITY-BOUNDED
8,Projection-Neutral,LineagePersistenceMapping,0.8705,0.8643,0.8478,0.8356,0.8297,0.8246,0.8287,IDENTITY-BOUNDED
12,Projection-Neutral,LineagePersistenceMapping,0.843,0.819,0.8136,0.805,0.7955,0.7904,0.799,IDENTITY-BOUNDED
16,Projection-Neutral,LineagePersistenceMapping,0.7869,0.7854,0.7827,0.7698,0.7657,0.7553,0.7669,IDENTITY-PARTIAL
20,Projection-Neutral,LineagePersistenceMapping,0.7703,0.7633,0.7379,0.7538,0.7326,0.7026,0.7324,IDENTITY-PARTIAL
24,Projection-Neutral,LineagePersistenceMapping,0.726,0.7272,0.71,0.7222,0.6945,0.6891,0.7109,IDENTITY-PARTIAL
32,Projection-Neutral,LineagePersistenceMapping,0.6998,0.6878,0.6562,0.6636,0.6367,0.6461,0.6663,IDENTITY-DEGRADING
40,Projection-Neutral,LineagePersistenceMapping,0.6352,0.6389,0.6151,0.6134,0.6068,0.6003,0.6136,IDENTITY-DEGRADING
48,Projection-Neutral,LineagePersistenceMapping,0.5951,0.6044,0.5888,0.5879,0.5636,0.5643,0.5795,IDENTITY-DEGRADING
64,Projection-Neutral,LineagePersistenceMapping,0.5287,0.534,0.5227,0.5116,0.5015,0.4911,0.5153,IDENTITY-FAILED
80,Projection-Neutral,LineagePersistenceMapping,0.4785,0.4767,0.4802,0.4651,0.4572,0.4542,0.4633,IDENTITY-FAILED
96,Projection-Neutral,LineagePersistenceMapping,0.4491,0.4299,0.421,0.4239,0.4152,0.4049,0.4242,IDENTITY-FAILED
128,Projection-Neutral,LineagePersistenceMapping,0.3708,0.3664,0.3607,0.3666,0.3586,0.3419,0.3627,IDENTITY-FAILED
160,Projection-Neutral,LineagePersistenceMapping,0.3191,0.3211,0.3144,0.3176,0.301,0.3037,0.308,IDENTITY-FAILED
192,Projection-Neutral,LineagePersistenceMapping,0.2862,0.2859,0.2751,0.2748,0.2709,0.2683,0.2766,IDENTITY-FAILED
256,Projection-Neutral,LineagePersistenceMapping,0.2376,0.2298,0.2246,0.2273,0.2164,0.2163,0.2205,IDENTITY-FAILED
320,Projection-Neutral,LineagePersistenceMapping,0.1991,0.1924,0.1858,0.1915,0.1875,0.1806,0.1841,IDENTITY-FAILED
512,Projection-Neutral,LineagePersistenceMapping,0.1307,0.1317,0.1262,0.126,0.1267,0.1255,0.1265,IDENTITY-FAILED
768,Projection-Neutral,LineagePersistenceMapping,0.0908,0.091,0.088,0.0885,0.086,0.0847,0.0861,IDENTITY-FAILED
1024,Projection-Neutral,LineagePersistenceMapping,0.0706,0.0711,0.07,0.0703,0.0669,0.0652,0.0679,IDENTITY-FAILED
1536,Projection-Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Neutral,IdentityBoundaryStability,0.9581,0.9093,0.9063,0.8935,0.91,0.858,0.9133,IDENTITY-STABLE
2,Projection-Neutral,IdentityBoundaryStability,0.9309,0.8903,0.9021,0.8875,0.91,0.8775,0.8688,IDENTITY-BOUNDED
4,Projection-Neutral,IdentityBoundaryStability,0.9192,0.8806,0.8854,0.8829,0.87,0.8594,0.8649,IDENTITY-BOUNDED
6,Projection-Neutral,IdentityBoundaryStability,0.886,0.8813,0.8621,0.8515,0.8634,0.8318,0.8609,IDENTITY-BOUNDED
8,Projection-Neutral,IdentityBoundaryStability,0.8505,0.8349,0.8214,0.8425,0.8419,0.8038,0.8406,IDENTITY-BOUNDED
12,Projection-Neutral,IdentityBoundaryStability,0.8337,0.7921,0.798,0.7778,0.8099,0.772,0.7921,IDENTITY-PARTIAL
16,Projection-Neutral,IdentityBoundaryStability,0.8093,0.7913,0.7575,0.7488,0.7666,0.7299,0.7669,IDENTITY-PARTIAL
20,Projection-Neutral,IdentityBoundaryStability,0.7566,0.7452,0.7489,0.7367,0.7297,0.7033,0.7304,IDENTITY-PARTIAL
24,Projection-Neutral,IdentityBoundaryStability,0.7277,0.7115,0.7192,0.6937,0.7029,0.6782,0.7093,IDENTITY-PARTIAL
