depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
6,Projection-Neutral,CascadePropagationAnalysis,0.7777,0.7461,0.7547,0.7533,0.7216,0.7222,0.7158,RESILIENCE-BOUNDED
8,Projection-Neutral,CascadePropagationAnalysis,0.7432,0.7098,0.7282,0.7019,0.6699,0.6989,0.7018,RESILIENCE-BOUNDED
12,Projection-Neutral,CascadePropagationAnalysis,0.6737,0.6634,0.6546,0.6394,0.6317,0.6197,0.6308,RESILIENCE-BOUNDED
16,Projection-Neutral,CascadePropagationAnalysis,0.6144,0.6034,0.5969,0.5912,0.5772,0.5821,0.5809,RESILIENCE-PARTIAL
20,Projection-Neutral,CascadePropagationAnalysis,0.5797,0.5546,0.5454,0.5533,0.5291,0.5276,0.5317,RESILIENCE-DEGRADING
24,Projection-Neutral,CascadePropagationAnalysis,0.5381,0.5184,0.5235,0.5091,0.4986,0.4838,0.5058,RESILIENCE-DEGRADING
32,Projection-Neutral,CascadePropagationAnalysis,0.4771,0.4571,0.4529,0.4397,0.4444,0.4378,0.4406,RESILIENCE-DEGRADING
40,Projection-Neutral,CascadePropagationAnalysis,0.4255,0.406,0.3989,0.4035,0.3895,0.3961,0.3834,RESILIENCE-DEGRADING
48,Projection-Neutral,CascadePropagationAnalysis,0.3739,0.3643,0.3741,0.3599,0.3482,0.3419,0.3487,RESILIENCE-FAILED
64,Projection-Neutral,CascadePropagationAnalysis,0.3203,0.2995,0.307,0.3016,0.2908,0.2877,0.301,RESILIENCE-FAILED
80,Projection-Neutral,CascadePropagationAnalysis,0.2767,0.2656,0.2632,0.2614,0.2457,0.2481,0.2566,RESILIENCE-FAILED
96,Projection-Neutral,CascadePropagationAnalysis,0.2392,0.2239,0.2342,0.22,0.2245,0.2162,0.2183,RESILIENCE-FAILED
128,Projection-Neutral,CascadePropagationAnalysis,0.1884,0.181,0.1808,0.178,0.174,0.1738,0.179,RESILIENCE-FAILED
160,Projection-Neutral,CascadePropagationAnalysis,0.1587,0.1525,0.1577,0.15,0.1466,0.1442,0.1464,RESILIENCE-FAILED
192,Projection-Neutral,CascadePropagationAnalysis,0.1348,0.1295,0.1335,0.13,0.1292,0.1285,0.1263,RESILIENCE-FAILED
256,Projection-Neutral,CascadePropagationAnalysis,0.107,0.1037,0.1031,0.1006,0.0965,0.0969,0.101,RESILIENCE-FAILED
320,Projection-Neutral,CascadePropagationAnalysis,0.0859,0.0835,0.0857,0.0832,0.0789,0.0825,0.08,RESILIENCE-FAILED
1,Projection-Neutral,EquilibriumRecoveryTracking,0.8914,0.8767,0.8563,0.8705,0.8543,0.8067,0.8331,RESILIENCE-STABLE
2,Projection-Neutral,EquilibriumRecoveryTracking,0.8763,0.8315,0.831,0.8193,0.8248,0.8204,0.8203,RESILIENCE-STABLE
4,Projection-Neutral,EquilibriumRecoveryTracking,0.8461,0.781,0.762,0.7961,0.7579,0.758,0.7673,RESILIENCE-STABLE
6,Projection-Neutral,EquilibriumRecoveryTracking,0.7925,0.7657,0.7327,0.7509,0.7264,0.7164,0.7256,RESILIENCE-BOUNDED
8,Projection-Neutral,EquilibriumRecoveryTracking,0.7406,0.7116,0.7135,0.7013,0.6858,0.676,0.6978,RESILIENCE-BOUNDED
12,Projection-Neutral,EquilibriumRecoveryTracking,0.6918,0.6506,0.6556,0.6494,0.6412,0.6189,0.6546,RESILIENCE-BOUNDED
16,Projection-Neutral,EquilibriumRecoveryTracking,0.6225,0.6082,0.5795,0.6035,0.5817,0.577,0.598,RESILIENCE-PARTIAL
20,Projection-Neutral,EquilibriumRecoveryTracking,0.5866,0.549,0.5448,0.5461,0.544,0.5323,0.5464,RESILIENCE-DEGRADING
24,Projection-Neutral,EquilibriumRecoveryTracking,0.5305,0.5162,0.5122,0.5238,0.4989,0.4939,0.5,RESILIENCE-DEGRADING
32,Projection-Neutral,EquilibriumRecoveryTracking,0.4811,0.45,0.4425,0.4435,0.4485,0.4403,0.4362,RESILIENCE-DEGRADING
40,Projection-Neutral,EquilibriumRecoveryTracking,0.43,0.4071,0.3981,0.3935,0.4011,0.3823,0.3881,RESILIENCE-DEGRADING
48,Projection-Neutral,EquilibriumRecoveryTracking,0.3744,0.3616,0.3619,0.3632,0.3521,0.3473,0.3558,RESILIENCE-FAILED
64,Projection-Neutral,EquilibriumRecoveryTracking,0.3142,0.3095,0.3049,0.2979,0.2906,0.2923,0.298,RESILIENCE-FAILED
80,Projection-Neutral,EquilibriumRecoveryTracking,0.2761,0.2574,0.2579,0.2586,0.2593,0.2522,0.2582,RESILIENCE-FAILED
96,Projection-Neutral,EquilibriumRecoveryTracking,0.2398,0.23,0.2256,0.2232,0.2252,0.2239,0.2245,RESILIENCE-FAILED
128,Projection-Neutral,EquilibriumRecoveryTracking,0.1913,0.1843,0.1834,0.179,0.1814,0.1783,0.1774,RESILIENCE-FAILED
160,Projection-Neutral,EquilibriumRecoveryTracking,0.1593,0.1571,0.1528,0.1529,0.1478,0.1468,0.1521,RESILIENCE-FAILED
192,Projection-Neutral,EquilibriumRecoveryTracking,0.1397,0.1334,0.1307,0.1312,0.1253,0.1289,0.1289,RESILIENCE-FAILED
256,Projection-Neutral,EquilibriumRecoveryTracking,0.1052,0.1037,0.1031,0.1014,0.1004,0.0983,0.0996,RESILIENCE-FAILED
320,Projection-Neutral,EquilibriumRecoveryTracking,0.0861,0.0837,0.0837,0.0854,0.082,0.0798,0.0831,RESILIENCE-FAILED
1,Projection-Neutral,AdaptiveRedistributionResponse,0.8987,0.8749,0.849,0.8366,0.8613,0.8045,0.8185,RESILIENCE-STABLE
2,Projection-Neutral,AdaptiveRedistributionResponse,0.8452,0.836,0.8145,0.807,0.8291,0.8079,0.8037,RESILIENCE-STABLE
4,Projection-Neutral,AdaptiveRedistributionResponse,0.8288,0.7918,0.8045,0.7713,0.7694,0.7474,0.7571,RESILIENCE-STABLE
6,Projection-Neutral,AdaptiveRedistributionResponse,0.7732,0.759,0.7511,0.7461,0.7373,0.6973,0.7407,RESILIENCE-STABLE
8,Projection-Neutral,AdaptiveRedistributionResponse,0.7217,0.7155,0.7241,0.7011,0.7162,0.6746,0.7097,RESILIENCE-BOUNDED
12,Projection-Neutral,AdaptiveRedistributionResponse,0.6812,0.6542,0.6358,0.6484,0.6318,0.6082,0.6313,RESILIENCE-PARTIAL
16,Projection-Neutral,AdaptiveRedistributionResponse,0.61,0.6108,0.5947,0.5684,0.5998,0.5634,0.5933,RESILIENCE-PARTIAL
20,Projection-Neutral,AdaptiveRedistributionResponse,0.5761,0.5527,0.5601,0.5452,0.5428,0.5292,0.5459,RESILIENCE-PARTIAL
24,Projection-Neutral,AdaptiveRedistributionResponse,0.5409,0.5264,0.5232,0.5003,0.5037,0.4815,0.4957,RESILIENCE-DEGRADING
32,Projection-Neutral,AdaptiveRedistributionResponse,0.4753,0.4591,0.4408,0.4454,0.4414,0.4283,0.444,RESILIENCE-DEGRADING
40,Projection-Neutral,AdaptiveRedistributionResponse,0.4139,0.4025,0.4061,0.3881,0.4005,0.386,0.3858,RESILIENCE-DEGRADING
48,Projection-Neutral,AdaptiveRedistributionResponse,0.3721,0.3689,0.3647,0.3492,0.3586,0.3459,0.3506,RESILIENCE-FAILED
64,Projection-Neutral,AdaptiveRedistributionResponse,0.3132,0.3002,0.2996,0.291,0.3035,0.2822,0.2904,RESILIENCE-FAILED
80,Projection-Neutral,AdaptiveRedistributionResponse,0.2634,0.2636,0.2565,0.2537,0.2514,0.2521,0.2482,RESILIENCE-FAILED
96,Projection-Neutral,AdaptiveRedistributionResponse,0.233,0.232,0.2308,0.2251,0.2265,0.2189,0.2203,RESILIENCE-FAILED
128,Projection-Neutral,AdaptiveRedistributionResponse,0.1855,0.1882,0.1801,0.1808,0.1781,0.171,0.1746,RESILIENCE-FAILED
160,Projection-Neutral,AdaptiveRedistributionResponse,0.1606,0.1552,0.1556,0.1518,0.1491,0.1441,0.148,RESILIENCE-FAILED
192,Projection-Neutral,AdaptiveRedistributionResponse,0.1378,0.132,0.1302,0.1257,0.1295,0.1269,0.125,RESILIENCE-FAILED
256,Projection-Neutral,AdaptiveRedistributionResponse,0.1054,0.1029,0.1037,0.0995,0.1004,0.0972,0.099,RESILIENCE-FAILED
320,Projection-Neutral,AdaptiveRedistributionResponse,0.0866,0.0851,0.0819,0.0796,0.0812,0.0795,0.0826,RESILIENCE-FAILED
1,Projection-Neutral,ShockAbsorptionBasinMapping,0.8935,0.888,0.8322,0.8545,0.8205,0.8388,0.8413,RESILIENCE-STABLE
2,Projection-Neutral,ShockAbsorptionBasinMapping,0.8694,0.837,0.815,0.8276,0.7864,0.8039,0.8277,RESILIENCE-STABLE
4,Projection-Neutral,ShockAbsorptionBasinMapping,0.8125,0.7992,0.7872,0.7583,0.7656,0.7722,0.7526,RESILIENCE-STABLE
6,Projection-Neutral,ShockAbsorptionBasinMapping,0.7716,0.7671,0.7435,0.7321,0.7085,0.7212,0.7312,RESILIENCE-BOUNDED
8,Projection-Neutral,ShockAbsorptionBasinMapping,0.7447,0.7329,0.6949,0.6862,0.6903,0.6783,0.6881,RESILIENCE-BOUNDED
12,Projection-Neutral,ShockAbsorptionBasinMapping,0.671,0.6539,0.6519,0.6209,0.6221,0.613,0.6266,RESILIENCE-BOUNDED
16,Projection-Neutral,ShockAbsorptionBasinMapping,0.6131,0.598,0.5867,0.5799,0.5866,0.563,0.5869,RESILIENCE-PARTIAL
20,Projection-Neutral,ShockAbsorptionBasinMapping,0.5655,0.5732,0.5507,0.539,0.5263,0.5347,0.5445,RESILIENCE-PARTIAL
24,Projection-Neutral,ShockAbsorptionBasinMapping,0.5261,0.5236,0.4993,0.4933,0.4874,0.4892,0.4967,RESILIENCE-DEGRADING
32,Projection-Neutral,ShockAbsorptionBasinMapping,0.4667,0.4601,0.4362,0.4336,0.4316,0.4394,0.4404,RESILIENCE-DEGRADING
40,Projection-Neutral,ShockAbsorptionBasinMapping,0.4188,0.4157,0.4003,0.3973,0.3901,0.3861,0.3913,RESILIENCE-DEGRADING
48,Projection-Neutral,ShockAbsorptionBasinMapping,0.3747,0.3635,0.3654,0.3524,0.3485,0.3577,0.3477,RESILIENCE-FAILED
64,Projection-Neutral,ShockAbsorptionBasinMapping,0.3175,0.3082,0.301,0.2945,0.2901,0.286,0.2962,RESILIENCE-FAILED
80,Projection-Neutral,ShockAbsorptionBasinMapping,0.2639,0.2632,0.2598,0.2511,0.2477,0.2497,0.2507,RESILIENCE-FAILED
96,Projection-Neutral,ShockAbsorptionBasinMapping,0.2372,0.2334,0.2246,0.2223,0.2227,0.219,0.2195,RESILIENCE-FAILED
128,Projection-Neutral,ShockAbsorptionBasinMapping,0.1856,0.1895,0.1782,0.175,0.1772,0.1726,0.1815,RESILIENCE-FAILED
160,Projection-Neutral,ShockAbsorptionBasinMapping,0.1603,0.1537,0.1478,0.15,0.1482,0.1465,0.1462,RESILIENCE-FAILED
192,Projection-Neutral,ShockAbsorptionBasinMapping,0.1376,0.1322,0.1289,0.1277,0.1289,0.1235,0.1276,RESILIENCE-FAILED
256,Projection-Neutral,ShockAbsorptionBasinMapping,0.1067,0.1033,0.1023,0.1,0.0974,0.0981,0.1,RESILIENCE-FAILED
320,Projection-Neutral,ShockAbsorptionBasinMapping,0.0852,0.086,0.0837,0.0822,0.0788,0.0807,0.0834,RESILIENCE-FAILED
1,Projection-Neutral,RecursiveSelfHealingDynamics,0.8667,0.8753,0.8256,0.8587,0.8419,0.8103,0.8714,RESILIENCE-STABLE
2,Projection-Neutral,RecursiveSelfHealingDynamics,0.8491,0.8508,0.8358,0.8324,0.814,0.7948,0.8337,RESILIENCE-STABLE
4,Projection-Neutral,RecursiveSelfHealingDynamics,0.8165,0.7726,0.7816,0.7921,0.7521,0.7677,0.7994,RESILIENCE-STABLE
6,Projection-Neutral,RecursiveSelfHealingDynamics,0.7499,0.7312,0.735,0.7543,0.7174,0.7105,0.738,RESILIENCE-BOUNDED
8,Projection-Neutral,RecursiveSelfHealingDynamics,0.7409,0.6991,0.6914,0.7105,0.6983,0.6906,0.7002,RESILIENCE-BOUNDED
12,Projection-Neutral,RecursiveSelfHealingDynamics,0.6495,0.6561,0.6498,0.6318,0.6173,0.6184,0.6456,RESILIENCE-PARTIAL
16,Projection-Neutral,RecursiveSelfHealingDynamics,0.6037,0.5963,0.5776,0.5915,0.5847,0.572,0.5943,RESILIENCE-PARTIAL
20,Projection-Neutral,RecursiveSelfHealingDynamics,0.5671,0.5422,0.544,0.5391,0.545,0.5238,0.5534,RESILIENCE-DEGRADING
24,Projection-Neutral,RecursiveSelfHealingDynamics,0.5171,0.5234,0.5148,0.5014,0.4891,0.4978,0.5114,RESILIENCE-DEGRADING
32,Projection-Neutral,RecursiveSelfHealingDynamics,0.4524,0.4416,0.4496,0.4509,0.4273,0.4317,0.4432,RESILIENCE-DEGRADING
40,Projection-Neutral,RecursiveSelfHealingDynamics,0.4142,0.4045,0.406,0.3991,0.3815,0.3818,0.4031,RESILIENCE-DEGRADING
48,Projection-Neutral,RecursiveSelfHealingDynamics,0.3741,0.3672,0.3656,0.3523,0.3457,0.3435,0.367,RESILIENCE-FAILED
64,Projection-Neutral,RecursiveSelfHealingDynamics,0.3039,0.3018,0.2976,0.3013,0.2878,0.29,0.307,RESILIENCE-FAILED
80,Projection-Neutral,RecursiveSelfHealingDynamics,0.2621,0.2543,0.2621,0.2609,0.2455,0.2489,0.261,RESILIENCE-FAILED
96,Projection-Neutral,RecursiveSelfHealingDynamics,0.2324,0.2258,0.2278,0.2237,0.2189,0.2188,0.2249,RESILIENCE-FAILED
128,Projection-Neutral,RecursiveSelfHealingDynamics,0.1861,0.1831,0.1764,0.1769,0.1763,0.1738,0.1834,RESILIENCE-FAILED
160,Projection-Neutral,RecursiveSelfHealingDynamics,0.1593,0.1532,0.1526,0.1531,0.1443,0.1432,0.1517,RESILIENCE-FAILED
192,Projection-Neutral,RecursiveSelfHealingDynamics,0.1347,0.1282,0.1263,0.1323,0.1293,0.125,0.1308,RESILIENCE-FAILED
256,Projection-Neutral,RecursiveSelfHealingDynamics,0.1062,0.1003,0.1005,0.1009,0.097,0.0989,0.1001,RESILIENCE-FAILED
320,Projection-Neutral,RecursiveSelfHealingDynamics,0.084,0.0839,0.0829,0.0832,0.0796,0.0804,0.0836,RESILIENCE-FAILED
1,Projection-Neutral,NullResilienceControl,0.694,0.6948,0.6573,0.6814,0.6583,0.6259,0.6722,RESILIENCE-BOUNDED
2,Projection-Neutral,NullResilienceControl,0.6613,0.6689,0.671,0.6685,0.6313,0.6454,0.6335,RESILIENCE-BOUNDED
4,Projection-Neutral,NullResilienceControl,0.6221,0.636,0.619,0.6259,0.6099,0.6059,0.599,RESILIENCE-PARTIAL
6,Projection-Neutral,NullResilienceControl,0.6157,0.6157,0.6044,0.6008,0.5745,0.5497,0.5876,RESILIENCE-PARTIAL
8,Projection-Neutral,NullResilienceControl,0.5587,0.5692,0.5709,0.5842,0.5374,0.523,0.5543,RESILIENCE-PARTIAL
12,Projection-Neutral,NullResilienceControl,0.5312,0.5169,0.5088,0.5107,0.5003,0.504,0.4905,RESILIENCE-DEGRADING
16,Projection-Neutral,NullResilienceControl,0.4906,0.4758,0.4637,0.4762,0.4597,0.4474,0.4653,RESILIENCE-DEGRADING
20,Projection-Neutral,NullResilienceControl,0.4335,0.4437,0.4277,0.4505,0.4325,0.425,0.4395,RESILIENCE-DEGRADING
24,Projection-Neutral,NullResilienceControl,0.4039,0.4164,0.4109,0.4231,0.4023,0.3913,0.3997,RESILIENCE-DEGRADING
32,Projection-Neutral,NullResilienceControl,0.3669,0.3575,0.3517,0.3705,0.3508,0.35,0.3425,RESILIENCE-FAILED
40,Projection-Neutral,NullResilienceControl,0.3198,0.3132,0.3205,0.3268,0.3101,0.296,0.3216,RESILIENCE-FAILED
48,Projection-Neutral,NullResilienceControl,0.2909,0.2943,0.2882,0.2826,0.2856,0.2678,0.2873,RESILIENCE-FAILED
64,Projection-Neutral,NullResilienceControl,0.2421,0.2484,0.2352,0.2374,0.2303,0.2231,0.2425,RESILIENCE-FAILED
80,Projection-Neutral,NullResilienceControl,0.2099,0.2131,0.2037,0.2083,0.202,0.1921,0.2072,RESILIENCE-FAILED
96,Projection-Neutral,NullResilienceControl,0.179,0.1872,0.1846,0.1866,0.1724,0.1707,0.1749,RESILIENCE-FAILED
128,Projection-Neutral,NullResilienceControl,0.1482,0.1434,0.1405,0.1475,0.1393,0.1341,0.1429,RESILIENCE-FAILED
160,Projection-Neutral,NullResilienceControl,0.1224,0.1214,0.1184,0.1236,0.1186,0.1127,0.1211,RESILIENCE-FAILED
192,Projection-Neutral,NullResilienceControl,0.1039,0.1073,0.1026,0.1041,0.1016,0.0981,0.1012,RESILIENCE-FAILED
256,Projection-Neutral,NullResilienceControl,0.0826,0.0819,0.0817,0.0831,0.0764,0.0767,0.0783,RESILIENCE-FAILED
320,Projection-Neutral,NullResilienceControl,0.0671,0.0656,0.0656,0.0673,0.0647,0.0624,0.064,RESILIENCE-FAILED
1,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.8826,0.8653,0.8672,0.8492,0.8392,0.8085,0.8251,RESILIENCE-STABLE
2,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.886,0.8242,0.849,0.8233,0.8134,0.8188,0.8199,RESILIENCE-STABLE
4,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.8372,0.8015,0.774,0.7846,0.7736,0.769,0.765,RESILIENCE-STABLE
6,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.7967,0.7667,0.7609,0.7464,0.7289,0.7312,0.7427,RESILIENCE-STABLE
8,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.752,0.7299,0.7157,0.7039,0.6837,0.687,0.6796,RESILIENCE-BOUNDED
12,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.6666,0.6515,0.6585,0.6432,0.6187,0.6357,0.645,RESILIENCE-BOUNDED
16,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.6355,0.6162,0.5839,0.5806,0.5652,0.5829,0.5876,RESILIENCE-PARTIAL
20,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.5773,0.5463,0.5573,0.5371,0.5434,0.5236,0.5279,RESILIENCE-DEGRADING
24,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.5314,0.5123,0.5132,0.4927,0.4865,0.5046,0.4972,RESILIENCE-DEGRADING
32,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.4698,0.4491,0.4581,0.4324,0.4321,0.4425,0.4464,RESILIENCE-DEGRADING
40,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.4273,0.4032,0.4025,0.3895,0.3937,0.3814,0.3996,RESILIENCE-DEGRADING
48,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.3813,0.3635,0.3592,0.3568,0.3563,0.3486,0.3607,RESILIENCE-FAILED
64,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.3151,0.3004,0.3001,0.2923,0.294,0.285,0.2984,RESILIENCE-FAILED
80,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.2664,0.2607,0.2591,0.2479,0.2508,0.2515,0.2485,RESILIENCE-FAILED
96,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.2401,0.2311,0.2285,0.2225,0.2203,0.218,0.2179,RESILIENCE-FAILED
128,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.1946,0.1859,0.1833,0.1787,0.1762,0.1733,0.1766,RESILIENCE-FAILED
160,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.1565,0.1516,0.1535,0.1512,0.1466,0.1469,0.149,RESILIENCE-FAILED
192,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.1364,0.1293,0.1334,0.1288,0.1285,0.1235,0.1265,RESILIENCE-FAILED
256,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.1069,0.1016,0.1035,0.0977,0.0977,0.0984,0.0989,RESILIENCE-FAILED
320,Antisymmetry-Neutral,LargeScalePerturbationInjection,0.089,0.0849,0.0832,0.0804,0.0799,0.0824,0.0815,RESILIENCE-FAILED
1,Antisymmetry-Neutral,CascadePropagationAnalysis,0.905,0.8738,0.8806,0.8505,0.815,0.8171,0.8325,RESILIENCE-STABLE
2,Antisymmetry-Neutral,CascadePropagationAnalysis,0.8755,0.8398,0.8515,0.8289,0.8179,0.7879,0.8289,RESILIENCE-STABLE
4,Antisymmetry-Neutral,CascadePropagationAnalysis,0.8257,0.7964,0.7883,0.7917,0.7672,0.766,0.7706,RESILIENCE-STABLE
6,Antisymmetry-Neutral,CascadePropagationAnalysis,0.7659,0.7332,0.7632,0.7425,0.7216,0.7286,0.745,RESILIENCE-BOUNDED
8,Antisymmetry-Neutral,CascadePropagationAnalysis,0.7313,0.7055,0.7214,0.7137,0.6997,0.6823,0.6809,RESILIENCE-BOUNDED
12,Antisymmetry-Neutral,CascadePropagationAnalysis,0.6785,0.654,0.6415,0.6466,0.6335,0.614,0.6349,RESILIENCE-PARTIAL
16,Antisymmetry-Neutral,CascadePropagationAnalysis,0.6237,0.5913,0.5991,0.5763,0.568,0.5666,0.5795,RESILIENCE-PARTIAL
20,Antisymmetry-Neutral,CascadePropagationAnalysis,0.5747,0.5629,0.5634,0.5384,0.5295,0.5284,0.5393,RESILIENCE-PARTIAL
24,Antisymmetry-Neutral,CascadePropagationAnalysis,0.5432,0.5234,0.5174,0.5189,0.501,0.5035,0.5023,RESILIENCE-DEGRADING
32,Antisymmetry-Neutral,CascadePropagationAnalysis,0.4756,0.4518,0.4559,0.4533,0.4399,0.4266,0.4455,RESILIENCE-DEGRADING
40,Antisymmetry-Neutral,CascadePropagationAnalysis,0.423,0.3957,0.3983,0.3986,0.3881,0.3915,0.3862,RESILIENCE-FAILED
48,Antisymmetry-Neutral,CascadePropagationAnalysis,0.3711,0.3664,0.3721,0.3637,0.3529,0.3495,0.3521,RESILIENCE-FAILED
64,Antisymmetry-Neutral,CascadePropagationAnalysis,0.3099,0.3081,0.3128,0.3046,0.2926,0.2932,0.2983,RESILIENCE-FAILED
80,Antisymmetry-Neutral,CascadePropagationAnalysis,0.2753,0.2542,0.2657,0.2595,0.249,0.2449,0.2489,RESILIENCE-FAILED
96,Antisymmetry-Neutral,CascadePropagationAnalysis,0.2322,0.2293,0.2278,0.228,0.2222,0.2248,0.2247,RESILIENCE-FAILED
128,Antisymmetry-Neutral,CascadePropagationAnalysis,0.1893,0.182,0.1866,0.18,0.1782,0.1736,0.1748,RESILIENCE-FAILED
160,Antisymmetry-Neutral,CascadePropagationAnalysis,0.1559,0.1491,0.1541,0.1486,0.1499,0.1495,0.1499,RESILIENCE-FAILED
192,Antisymmetry-Neutral,CascadePropagationAnalysis,0.1333,0.133,0.1302,0.1319,0.1292,0.1237,0.1304,RESILIENCE-FAILED
256,Antisymmetry-Neutral,CascadePropagationAnalysis,0.1082,0.1002,0.1045,0.0993,0.0999,0.0969,0.0995,RESILIENCE-FAILED
320,Antisymmetry-Neutral,CascadePropagationAnalysis,0.0888,0.0829,0.0825,0.0842,0.0824,0.0811,0.0813,RESILIENCE-FAILED
1,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.8942,0.8782,0.8441,0.8578,0.8334,0.8272,0.8485,RESILIENCE-STABLE
2,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.877,0.8382,0.8307,0.822,0.8194,0.8052,0.8402,RESILIENCE-STABLE
4,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.8243,0.7889,0.7623,0.7966,0.758,0.7698,0.7824,RESILIENCE-STABLE
6,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.8034,0.7666,0.7555,0.7602,0.7305,0.7065,0.7456,RESILIENCE-STABLE
8,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.7547,0.7278,0.7157,0.698,0.6817,0.7011,0.6957,RESILIENCE-BOUNDED
12,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.6784,0.6512,0.6466,0.6401,0.6233,0.6133,0.6543,RESILIENCE-PARTIAL
16,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.618,0.6092,0.5847,0.5846,0.5827,0.5752,0.5771,RESILIENCE-PARTIAL
20,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.5898,0.5466,0.5458,0.5514,0.5325,0.5386,0.5508,RESILIENCE-DEGRADING
24,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.5335,0.5097,0.505,0.5098,0.4965,0.4926,0.5095,RESILIENCE-DEGRADING
32,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.4746,0.456,0.4526,0.4606,0.4296,0.4286,0.4382,RESILIENCE-DEGRADING
40,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.4137,0.3978,0.403,0.4085,0.4005,0.3806,0.3896,RESILIENCE-FAILED
48,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.3885,0.3661,0.3563,0.3539,0.3567,0.3563,0.3591,RESILIENCE-FAILED
64,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.3194,0.3011,0.3029,0.3015,0.295,0.2895,0.2939,RESILIENCE-FAILED
80,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.2764,0.2621,0.2536,0.2559,0.2499,0.2458,0.2553,RESILIENCE-FAILED
96,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.2349,0.2279,0.2264,0.2322,0.2202,0.216,0.2246,RESILIENCE-FAILED
128,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.1965,0.1884,0.1829,0.1806,0.1825,0.1777,0.1788,RESILIENCE-FAILED
160,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.1622,0.1567,0.152,0.1529,0.1521,0.145,0.1503,RESILIENCE-FAILED
192,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.1383,0.1317,0.1304,0.1284,0.1254,0.1254,0.131,RESILIENCE-FAILED
256,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.1056,0.1034,0.0986,0.1017,0.0987,0.0981,0.1009,RESILIENCE-FAILED
320,Antisymmetry-Neutral,EquilibriumRecoveryTracking,0.0863,0.0835,0.0832,0.085,0.0802,0.0818,0.0836,RESILIENCE-FAILED
1,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.8941,0.853,0.8534,0.8227,0.8551,0.8251,0.8326,RESILIENCE-STABLE
2,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.8612,0.8388,0.8379,0.8155,0.832,0.7888,0.7987,RESILIENCE-STABLE
4,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.8286,0.7789,0.7985,0.7512,0.7678,0.7593,0.768,RESILIENCE-STABLE
6,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.7623,0.7575,0.756,0.7143,0.7329,0.7006,0.7173,RESILIENCE-STABLE
8,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.728,0.7254,0.7218,0.6822,0.6917,0.6854,0.7072,RESILIENCE-BOUNDED
12,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.6734,0.6631,0.6573,0.6393,0.6265,0.608,0.6283,RESILIENCE-BOUNDED
16,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.621,0.6129,0.5898,0.5812,0.6016,0.5549,0.5954,RESILIENCE-PARTIAL
20,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.5613,0.5453,0.5409,0.5295,0.5436,0.535,0.535,RESILIENCE-DEGRADING
24,Antisymmetry-Neutral,AdaptiveRedistributionResponse,0.5318,0.5159,0.5101,0.5011,0.5169,0.4953,0.4941,RESILIENCE-DEGRADING
