depth,sector,condition,rg_similarity,invariant_class_stability,motif_persistence,cross_operator_similarity,recursive_relational_coherence,collapse_path_dependence,invariant_survival_rate,classification
12,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.5291,0.4969,0.49,0.506,0.4676,0.4611,0.4805,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.4654,0.4315,0.4194,0.4326,0.4152,0.4129,0.4157,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.4027,0.3953,0.3847,0.3896,0.3656,0.355,0.3702,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.3658,0.3621,0.3381,0.343,0.3268,0.3165,0.3365,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.3037,0.293,0.2815,0.2889,0.2772,0.2667,0.2824,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.259,0.2553,0.2448,0.2534,0.2409,0.2313,0.2496,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.2316,0.2283,0.2151,0.2251,0.2162,0.201,0.2123,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.1891,0.1789,0.1747,0.182,0.1667,0.1685,0.1671,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.156,0.1535,0.1463,0.1478,0.1418,0.1363,0.1435,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.8428,0.8026,0.7892,0.7943,0.7472,0.7287,0.7586,INVARIANT-CLASS
2,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.7897,0.7881,0.7386,0.7589,0.7204,0.7057,0.7235,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.7076,0.6926,0.681,0.6759,0.6651,0.656,0.6815,RELATIONAL-STABLE
6,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.6652,0.653,0.6009,0.6186,0.6161,0.5881,0.601,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.6051,0.5798,0.571,0.5721,0.5524,0.5272,0.5558,RELATIONAL-PARTIAL
12,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.5283,0.502,0.4974,0.4825,0.4795,0.4591,0.4829,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.4604,0.4396,0.4236,0.4305,0.4138,0.417,0.4256,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.4174,0.3924,0.3852,0.3864,0.3834,0.3645,0.3714,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.3687,0.3594,0.3463,0.3508,0.3389,0.3373,0.3427,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.3036,0.2967,0.2908,0.2946,0.2825,0.2778,0.2836,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.2648,0.2532,0.2441,0.2445,0.2484,0.2421,0.2498,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.2335,0.2227,0.2231,0.2225,0.2176,0.2102,0.2172,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.1875,0.1833,0.1715,0.175,0.1674,0.1682,0.1746,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,InvariantClassClustering,0.1551,0.1516,0.1506,0.1447,0.1463,0.1367,0.1422,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.823,0.8259,0.8006,0.8202,0.7634,0.733,0.7587,INVARIANT-CLASS
2,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.7846,0.7607,0.7318,0.7465,0.7276,0.7145,0.7492,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.7293,0.7104,0.6725,0.7049,0.6563,0.6413,0.6548,RELATIONAL-STABLE
6,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.662,0.6483,0.6177,0.6284,0.5982,0.5698,0.6199,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.6188,0.6005,0.5738,0.577,0.5588,0.5373,0.5516,RELATIONAL-PARTIAL
12,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.5215,0.4969,0.4777,0.501,0.4751,0.4683,0.479,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.4699,0.4514,0.4257,0.4388,0.4272,0.4064,0.4268,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.4031,0.3916,0.3918,0.3982,0.3778,0.3561,0.3848,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.3721,0.3543,0.352,0.3552,0.3329,0.3364,0.3346,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.306,0.3055,0.2846,0.3009,0.2775,0.2688,0.2821,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.2688,0.2607,0.2439,0.2505,0.2399,0.2348,0.2467,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.2376,0.229,0.22,0.2238,0.2155,0.2053,0.2156,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.1924,0.1857,0.179,0.1784,0.1674,0.1664,0.1714,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,OperatorIndependentPattern,0.1562,0.1553,0.1441,0.149,0.1451,0.1396,0.1483,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.8413,0.8135,0.8051,0.7925,0.7952,0.7269,0.7813,INVARIANT-CLASS
2,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.7973,0.7616,0.7522,0.7451,0.7357,0.6789,0.7261,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.722,0.6722,0.6787,0.666,0.6802,0.6307,0.6609,RELATIONAL-STABLE
6,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.6618,0.6113,0.6231,0.6081,0.604,0.5765,0.5993,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.5979,0.5605,0.5804,0.564,0.5584,0.5452,0.5501,RELATIONAL-PARTIAL
12,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.5263,0.4845,0.5048,0.495,0.4895,0.4598,0.4708,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.4453,0.435,0.4458,0.417,0.4356,0.4036,0.4218,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.4099,0.3952,0.3826,0.3816,0.3844,0.3564,0.3772,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.3561,0.3503,0.3463,0.3459,0.3508,0.32,0.3314,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.3003,0.2911,0.2951,0.2921,0.2871,0.2691,0.2904,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.2677,0.2587,0.259,0.243,0.242,0.2289,0.2482,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.233,0.217,0.221,0.2202,0.2118,0.2087,0.2089,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.1891,0.1768,0.1804,0.1751,0.1706,0.167,0.171,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,RecursiveMotifPersistence,0.1534,0.1524,0.1475,0.1417,0.1423,0.1382,0.1427,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.8114,0.7832,0.7617,0.7869,0.7756,0.767,0.77,INVARIANT-CLASS
2,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.7701,0.7521,0.7376,0.7465,0.7037,0.7206,0.7248,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.7027,0.6812,0.6764,0.6655,0.6502,0.6465,0.6399,RELATIONAL-PARTIAL
6,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.6492,0.6201,0.594,0.603,0.5849,0.584,0.5838,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.6009,0.5811,0.5703,0.5617,0.5379,0.5441,0.5484,RELATIONAL-DEGRADING
12,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.5124,0.5069,0.4763,0.4833,0.4714,0.4798,0.483,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.4516,0.4256,0.4303,0.4335,0.4244,0.4174,0.4188,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.4016,0.3929,0.3866,0.3746,0.3635,0.3773,0.368,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.3702,0.3473,0.343,0.3482,0.3259,0.3283,0.3295,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.3038,0.2946,0.2877,0.2863,0.285,0.2731,0.2857,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.2557,0.2509,0.2487,0.2428,0.2379,0.2345,0.2355,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.2253,0.2205,0.2198,0.213,0.2112,0.2132,0.2141,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.1825,0.1785,0.1713,0.1709,0.1689,0.1651,0.1717,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,PerturbationSurvivalTesting,0.1559,0.1474,0.1464,0.1453,0.1407,0.1444,0.1395,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.8288,0.7965,0.7849,0.7808,0.7619,0.7716,0.7421,RELATIONAL-STABLE
2,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.7616,0.7299,0.7384,0.7089,0.6965,0.7236,0.7215,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.6956,0.6656,0.6652,0.6431,0.6254,0.6445,0.6593,RELATIONAL-PARTIAL
6,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.6359,0.6054,0.6033,0.6024,0.5818,0.5904,0.6038,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.6004,0.5766,0.5558,0.5595,0.5444,0.5617,0.5584,RELATIONAL-PARTIAL
12,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.5031,0.4882,0.4806,0.4785,0.4758,0.4862,0.4631,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.4501,0.427,0.4287,0.4231,0.4162,0.4278,0.4155,RELATIONAL-DEGRADING
20,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.4052,0.3935,0.3669,0.3759,0.3662,0.3721,0.3722,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.3585,0.3434,0.3463,0.3407,0.3264,0.3304,0.3367,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.3091,0.2955,0.2763,0.2773,0.2767,0.2904,0.2805,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.2555,0.2443,0.2495,0.2381,0.2351,0.2392,0.2388,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.2282,0.2157,0.21,0.2184,0.2074,0.2114,0.2132,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.1827,0.1724,0.1673,0.168,0.1637,0.17,0.1669,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,CollapsePathwayClassification,0.1515,0.1499,0.1463,0.1397,0.1373,0.1425,0.1393,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,NullInvariantControl,0.6423,0.6082,0.6242,0.6106,0.6068,0.6171,0.5807,RELATIONAL-PARTIAL
2,Projection-Antisymmetry-Neutral,NullInvariantControl,0.5849,0.5934,0.5973,0.5854,0.5781,0.5737,0.5748,RELATIONAL-PARTIAL
4,Projection-Antisymmetry-Neutral,NullInvariantControl,0.5434,0.543,0.5451,0.5209,0.5186,0.5302,0.5066,RELATIONAL-DEGRADING
6,Projection-Antisymmetry-Neutral,NullInvariantControl,0.4904,0.4882,0.5057,0.4631,0.4851,0.4975,0.4725,RELATIONAL-DEGRADING
8,Projection-Antisymmetry-Neutral,NullInvariantControl,0.4472,0.4462,0.4514,0.4232,0.4425,0.4463,0.4364,RELATIONAL-DEGRADING
12,Projection-Antisymmetry-Neutral,NullInvariantControl,0.3821,0.4014,0.3906,0.3859,0.3809,0.3739,0.3611,RELATIONAL-DEGRADING
16,Projection-Antisymmetry-Neutral,NullInvariantControl,0.3458,0.3485,0.3362,0.3425,0.321,0.3341,0.3286,RELATIONAL-FAILED
20,Projection-Antisymmetry-Neutral,NullInvariantControl,0.3115,0.3152,0.3012,0.2887,0.2978,0.3045,0.2975,RELATIONAL-FAILED
24,Projection-Antisymmetry-Neutral,NullInvariantControl,0.286,0.2817,0.2699,0.2649,0.2612,0.2789,0.2573,RELATIONAL-FAILED
32,Projection-Antisymmetry-Neutral,NullInvariantControl,0.2267,0.2317,0.2266,0.2219,0.2278,0.2221,0.2171,RELATIONAL-FAILED
40,Projection-Antisymmetry-Neutral,NullInvariantControl,0.2057,0.2038,0.1992,0.1913,0.1944,0.1991,0.1928,RELATIONAL-FAILED
48,Projection-Antisymmetry-Neutral,NullInvariantControl,0.177,0.1797,0.1783,0.1658,0.1736,0.1763,0.1691,RELATIONAL-FAILED
64,Projection-Antisymmetry-Neutral,NullInvariantControl,0.1415,0.1414,0.1412,0.1367,0.1312,0.1354,0.1293,RELATIONAL-FAILED
80,Projection-Antisymmetry-Neutral,NullInvariantControl,0.118,0.1196,0.1136,0.1109,0.1107,0.1158,0.1095,RELATIONAL-FAILED
