depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
40,Projection-Antisymmetry,NullUniversalityControl,0.3474,0.3388,0.3503,0.3432,0.3242,0.321,0.343,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,NullUniversalityControl,0.3136,0.3088,0.3007,0.3113,0.2973,0.2898,0.3116,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,NullUniversalityControl,0.2588,0.2588,0.2609,0.2648,0.2549,0.2556,0.2528,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,NullUniversalityControl,0.2335,0.2316,0.2276,0.2262,0.2182,0.2154,0.2183,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,NullUniversalityControl,0.2076,0.1981,0.1938,0.2035,0.1952,0.1902,0.1969,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,NullUniversalityControl,0.1648,0.1629,0.1623,0.1633,0.1563,0.1497,0.1567,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,NullUniversalityControl,0.14,0.1317,0.1317,0.1347,0.1321,0.1263,0.1321,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,NullUniversalityControl,0.1184,0.1152,0.1182,0.1143,0.1148,0.1112,0.111,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,NullUniversalityControl,0.0918,0.0889,0.0901,0.0886,0.0873,0.0879,0.0893,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,NullUniversalityControl,0.0769,0.0759,0.0724,0.0751,0.0724,0.0717,0.0733,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,NullUniversalityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,UNIVERSALITY-FAILED
1,Projection-Neutral,ScaleRescalingInvariance,0.9027,0.875,0.8639,0.8325,0.8211,0.846,0.8618,UNIVERSALITY-STABLE
2,Projection-Neutral,ScaleRescalingInvariance,0.8735,0.8429,0.831,0.8086,0.8294,0.8285,0.8254,UNIVERSALITY-STABLE
4,Projection-Neutral,ScaleRescalingInvariance,0.8554,0.8144,0.8132,0.7715,0.7908,0.7607,0.7811,UNIVERSALITY-STABLE
6,Projection-Neutral,ScaleRescalingInvariance,0.8069,0.7762,0.7833,0.7612,0.7231,0.7239,0.7438,UNIVERSALITY-BOUNDED
8,Projection-Neutral,ScaleRescalingInvariance,0.7505,0.7402,0.7472,0.7108,0.6993,0.7218,0.719,UNIVERSALITY-BOUNDED
12,Projection-Neutral,ScaleRescalingInvariance,0.7091,0.6677,0.6744,0.6719,0.6497,0.6441,0.6546,UNIVERSALITY-PARTIAL
16,Projection-Neutral,ScaleRescalingInvariance,0.6464,0.63,0.6168,0.6043,0.6107,0.5868,0.5959,UNIVERSALITY-PARTIAL
20,Projection-Neutral,ScaleRescalingInvariance,0.6158,0.5851,0.5919,0.5535,0.5647,0.5519,0.5539,UNIVERSALITY-DEGRADING
24,Projection-Neutral,ScaleRescalingInvariance,0.5763,0.5478,0.5399,0.5276,0.5228,0.5317,0.5362,UNIVERSALITY-DEGRADING
32,Projection-Neutral,ScaleRescalingInvariance,0.5062,0.479,0.4816,0.4652,0.4592,0.4568,0.474,UNIVERSALITY-DEGRADING
40,Projection-Neutral,ScaleRescalingInvariance,0.4495,0.4418,0.4216,0.4155,0.4236,0.4051,0.42,UNIVERSALITY-FAILED
48,Projection-Neutral,ScaleRescalingInvariance,0.4063,0.393,0.3822,0.3727,0.38,0.3737,0.3735,UNIVERSALITY-FAILED
64,Projection-Neutral,ScaleRescalingInvariance,0.3397,0.3374,0.3325,0.3274,0.3208,0.3212,0.328,UNIVERSALITY-FAILED
80,Projection-Neutral,ScaleRescalingInvariance,0.2933,0.2881,0.2879,0.28,0.2707,0.2786,0.2735,UNIVERSALITY-FAILED
96,Projection-Neutral,ScaleRescalingInvariance,0.2634,0.2555,0.2449,0.2437,0.2351,0.2466,0.2401,UNIVERSALITY-FAILED
128,Projection-Neutral,ScaleRescalingInvariance,0.2133,0.2072,0.2,0.1983,0.1908,0.1939,0.1935,UNIVERSALITY-FAILED
160,Projection-Neutral,ScaleRescalingInvariance,0.1755,0.1668,0.1697,0.1622,0.1664,0.164,0.1654,UNIVERSALITY-FAILED
192,Projection-Neutral,ScaleRescalingInvariance,0.1538,0.1447,0.1435,0.1385,0.1431,0.1414,0.1403,UNIVERSALITY-FAILED
256,Projection-Neutral,ScaleRescalingInvariance,0.1198,0.1148,0.1153,0.1091,0.1078,0.1103,0.1092,UNIVERSALITY-FAILED
320,Projection-Neutral,ScaleRescalingInvariance,0.0985,0.0957,0.0945,0.0892,0.0913,0.0889,0.0915,UNIVERSALITY-FAILED
512,Projection-Neutral,ScaleRescalingInvariance,0.0645,0.0603,0.0609,0.0586,0.0583,0.0599,0.0592,UNIVERSALITY-FAILED
1,Projection-Neutral,UniversalityClassExtraction,0.9102,0.866,0.8854,0.8548,0.8502,0.8498,0.8562,UNIVERSALITY-STABLE
2,Projection-Neutral,UniversalityClassExtraction,0.9034,0.8635,0.8525,0.8266,0.817,0.8305,0.8146,UNIVERSALITY-STABLE
4,Projection-Neutral,UniversalityClassExtraction,0.86,0.8336,0.8039,0.8094,0.7881,0.761,0.7757,UNIVERSALITY-STABLE
6,Projection-Neutral,UniversalityClassExtraction,0.8039,0.7684,0.7611,0.7666,0.7557,0.7363,0.7635,UNIVERSALITY-BOUNDED
8,Projection-Neutral,UniversalityClassExtraction,0.7696,0.7588,0.7185,0.7367,0.7305,0.71,0.7369,UNIVERSALITY-BOUNDED
12,Projection-Neutral,UniversalityClassExtraction,0.7132,0.6962,0.6759,0.6709,0.6422,0.6349,0.6738,UNIVERSALITY-PARTIAL
16,Projection-Neutral,UniversalityClassExtraction,0.6651,0.6443,0.6229,0.6037,0.5949,0.5957,0.6223,UNIVERSALITY-PARTIAL
20,Projection-Neutral,UniversalityClassExtraction,0.5994,0.5905,0.5882,0.5615,0.566,0.5726,0.5788,UNIVERSALITY-DEGRADING
24,Projection-Neutral,UniversalityClassExtraction,0.5623,0.5556,0.5423,0.5426,0.5229,0.5234,0.5254,UNIVERSALITY-DEGRADING
32,Projection-Neutral,UniversalityClassExtraction,0.5138,0.4879,0.4717,0.4685,0.4596,0.4592,0.4773,UNIVERSALITY-DEGRADING
40,Projection-Neutral,UniversalityClassExtraction,0.4477,0.4365,0.428,0.4275,0.415,0.4239,0.4254,UNIVERSALITY-FAILED
48,Projection-Neutral,UniversalityClassExtraction,0.4149,0.3984,0.3925,0.3794,0.3846,0.3802,0.3897,UNIVERSALITY-FAILED
64,Projection-Neutral,UniversalityClassExtraction,0.3446,0.3409,0.3314,0.3254,0.3225,0.3234,0.3278,UNIVERSALITY-FAILED
80,Projection-Neutral,UniversalityClassExtraction,0.3023,0.2861,0.2898,0.2847,0.2801,0.2787,0.2824,UNIVERSALITY-FAILED
96,Projection-Neutral,UniversalityClassExtraction,0.2617,0.2508,0.2469,0.2448,0.2384,0.2413,0.2442,UNIVERSALITY-FAILED
128,Projection-Neutral,UniversalityClassExtraction,0.2074,0.2039,0.1989,0.2019,0.199,0.1908,0.2029,UNIVERSALITY-FAILED
160,Projection-Neutral,UniversalityClassExtraction,0.1737,0.1728,0.1696,0.1656,0.1674,0.1636,0.1648,UNIVERSALITY-FAILED
192,Projection-Neutral,UniversalityClassExtraction,0.1551,0.1506,0.1458,0.1413,0.1418,0.1427,0.144,UNIVERSALITY-FAILED
256,Projection-Neutral,UniversalityClassExtraction,0.1213,0.1158,0.1157,0.1126,0.1121,0.111,0.1108,UNIVERSALITY-FAILED
320,Projection-Neutral,UniversalityClassExtraction,0.0978,0.0955,0.0927,0.0911,0.0929,0.0907,0.0937,UNIVERSALITY-FAILED
512,Projection-Neutral,UniversalityClassExtraction,0.0648,0.0628,0.0616,0.0598,0.0583,0.0591,0.0594,UNIVERSALITY-FAILED
1,Projection-Neutral,RecursiveRenormalizationAnalysis,0.9046,0.878,0.8944,0.8815,0.8431,0.8211,0.8707,UNIVERSALITY-STABLE
2,Projection-Neutral,RecursiveRenormalizationAnalysis,0.8975,0.8353,0.8607,0.8505,0.8101,0.8031,0.8455,UNIVERSALITY-STABLE
4,Projection-Neutral,RecursiveRenormalizationAnalysis,0.8385,0.8067,0.8279,0.7897,0.7601,0.7597,0.789,UNIVERSALITY-STABLE
6,Projection-Neutral,RecursiveRenormalizationAnalysis,0.7815,0.7791,0.7614,0.7711,0.7399,0.7198,0.7467,UNIVERSALITY-BOUNDED
8,Projection-Neutral,RecursiveRenormalizationAnalysis,0.7735,0.7523,0.7458,0.7312,0.6912,0.7064,0.7237,UNIVERSALITY-BOUNDED
12,Projection-Neutral,RecursiveRenormalizationAnalysis,0.7048,0.6789,0.6728,0.6789,0.6587,0.6551,0.6798,UNIVERSALITY-PARTIAL
16,Projection-Neutral,RecursiveRenormalizationAnalysis,0.6463,0.6335,0.6389,0.632,0.5919,0.603,0.6014,UNIVERSALITY-PARTIAL
20,Projection-Neutral,RecursiveRenormalizationAnalysis,0.5951,0.5969,0.5913,0.5741,0.5476,0.5568,0.5755,UNIVERSALITY-DEGRADING
24,Projection-Neutral,RecursiveRenormalizationAnalysis,0.5679,0.5466,0.5555,0.5388,0.5334,0.5252,0.5249,UNIVERSALITY-DEGRADING
32,Projection-Neutral,RecursiveRenormalizationAnalysis,0.5009,0.4942,0.4825,0.4682,0.466,0.465,0.4633,UNIVERSALITY-DEGRADING
40,Projection-Neutral,RecursiveRenormalizationAnalysis,0.4569,0.4382,0.4416,0.4284,0.4216,0.4128,0.4171,UNIVERSALITY-FAILED
48,Projection-Neutral,RecursiveRenormalizationAnalysis,0.4076,0.396,0.3922,0.3949,0.3798,0.3731,0.3899,UNIVERSALITY-FAILED
64,Projection-Neutral,RecursiveRenormalizationAnalysis,0.3437,0.3374,0.3367,0.3207,0.3125,0.3084,0.3241,UNIVERSALITY-FAILED
80,Projection-Neutral,RecursiveRenormalizationAnalysis,0.2969,0.2809,0.2847,0.2798,0.2794,0.2652,0.2843,UNIVERSALITY-FAILED
96,Projection-Neutral,RecursiveRenormalizationAnalysis,0.2611,0.2528,0.2553,0.2473,0.2442,0.2421,0.2483,UNIVERSALITY-FAILED
128,Projection-Neutral,RecursiveRenormalizationAnalysis,0.2055,0.2028,0.2073,0.2017,0.1935,0.1924,0.1977,UNIVERSALITY-FAILED
160,Projection-Neutral,RecursiveRenormalizationAnalysis,0.1751,0.1696,0.1703,0.166,0.163,0.1595,0.1653,UNIVERSALITY-FAILED
192,Projection-Neutral,RecursiveRenormalizationAnalysis,0.1492,0.1451,0.15,0.1441,0.1369,0.1361,0.141,UNIVERSALITY-FAILED
256,Projection-Neutral,RecursiveRenormalizationAnalysis,0.1178,0.1151,0.1137,0.1158,0.112,0.1097,0.1123,UNIVERSALITY-FAILED
320,Projection-Neutral,RecursiveRenormalizationAnalysis,0.0948,0.0927,0.095,0.0932,0.092,0.0883,0.0922,UNIVERSALITY-FAILED
512,Projection-Neutral,RecursiveRenormalizationAnalysis,0.0623,0.0616,0.0626,0.0608,0.0574,0.057,0.0599,UNIVERSALITY-FAILED
1,Projection-Neutral,AttractorTopologyScaling,0.8888,0.8805,0.8619,0.8478,0.8465,0.8254,0.8392,UNIVERSALITY-STABLE
2,Projection-Neutral,AttractorTopologyScaling,0.8567,0.857,0.826,0.8378,0.8153,0.7896,0.8146,UNIVERSALITY-STABLE
4,Projection-Neutral,AttractorTopologyScaling,0.8498,0.7874,0.7825,0.7953,0.7818,0.7561,0.7961,UNIVERSALITY-BOUNDED
6,Projection-Neutral,AttractorTopologyScaling,0.8097,0.7522,0.7496,0.7346,0.7647,0.7404,0.731,UNIVERSALITY-BOUNDED
8,Projection-Neutral,AttractorTopologyScaling,0.7648,0.7189,0.7263,0.7152,0.7386,0.6915,0.7208,UNIVERSALITY-BOUNDED
12,Projection-Neutral,AttractorTopologyScaling,0.6816,0.681,0.6634,0.6612,0.6575,0.6487,0.6526,UNIVERSALITY-PARTIAL
16,Projection-Neutral,AttractorTopologyScaling,0.6365,0.6162,0.6122,0.607,0.616,0.6069,0.6065,UNIVERSALITY-PARTIAL
20,Projection-Neutral,AttractorTopologyScaling,0.6028,0.5802,0.5817,0.5626,0.5733,0.5455,0.5644,UNIVERSALITY-DEGRADING
24,Projection-Neutral,AttractorTopologyScaling,0.5571,0.5505,0.5327,0.5265,0.5421,0.529,0.5301,UNIVERSALITY-DEGRADING
32,Projection-Neutral,AttractorTopologyScaling,0.4994,0.4708,0.4717,0.4645,0.4699,0.4607,0.4622,UNIVERSALITY-DEGRADING
40,Projection-Neutral,AttractorTopologyScaling,0.445,0.4377,0.4294,0.4268,0.4267,0.4149,0.4197,UNIVERSALITY-FAILED
48,Projection-Neutral,AttractorTopologyScaling,0.3999,0.3812,0.3803,0.3824,0.3761,0.3737,0.3785,UNIVERSALITY-FAILED
64,Projection-Neutral,AttractorTopologyScaling,0.3432,0.3285,0.3206,0.3206,0.318,0.3117,0.3216,UNIVERSALITY-FAILED
80,Projection-Neutral,AttractorTopologyScaling,0.2927,0.2799,0.2835,0.2723,0.2759,0.2753,0.2707,UNIVERSALITY-FAILED
96,Projection-Neutral,AttractorTopologyScaling,0.2622,0.2466,0.2481,0.24,0.2477,0.2383,0.2389,UNIVERSALITY-FAILED
128,Projection-Neutral,AttractorTopologyScaling,0.2051,0.2052,0.1974,0.2002,0.2028,0.1888,0.1997,UNIVERSALITY-FAILED
160,Projection-Neutral,AttractorTopologyScaling,0.1737,0.1718,0.1675,0.1672,0.1642,0.1615,0.1642,UNIVERSALITY-FAILED
192,Projection-Neutral,AttractorTopologyScaling,0.1526,0.1467,0.1438,0.144,0.1431,0.136,0.1406,UNIVERSALITY-FAILED
256,Projection-Neutral,AttractorTopologyScaling,0.118,0.1144,0.1144,0.1091,0.1144,0.1086,0.1083,UNIVERSALITY-FAILED
320,Projection-Neutral,AttractorTopologyScaling,0.098,0.0923,0.0937,0.0911,0.0941,0.0874,0.0894,UNIVERSALITY-FAILED
512,Projection-Neutral,AttractorTopologyScaling,0.0617,0.0596,0.059,0.0588,0.0586,0.0586,0.0604,UNIVERSALITY-FAILED
1,Projection-Neutral,PerturbationUniversalityTesting,0.8968,0.8713,0.8703,0.8572,0.8554,0.8453,0.8644,UNIVERSALITY-STABLE
2,Projection-Neutral,PerturbationUniversalityTesting,0.8595,0.8387,0.8249,0.8435,0.7991,0.7957,0.8245,UNIVERSALITY-STABLE
4,Projection-Neutral,PerturbationUniversalityTesting,0.8091,0.8012,0.7902,0.8,0.7623,0.7889,0.7808,UNIVERSALITY-BOUNDED
6,Projection-Neutral,PerturbationUniversalityTesting,0.787,0.7581,0.7423,0.7527,0.7371,0.7247,0.745,UNIVERSALITY-BOUNDED
8,Projection-Neutral,PerturbationUniversalityTesting,0.7446,0.7265,0.735,0.7078,0.6998,0.6981,0.7022,UNIVERSALITY-BOUNDED
12,Projection-Neutral,PerturbationUniversalityTesting,0.7056,0.6591,0.6766,0.6429,0.6524,0.6417,0.6551,UNIVERSALITY-PARTIAL
16,Projection-Neutral,PerturbationUniversalityTesting,0.6441,0.6215,0.6267,0.6018,0.6107,0.6054,0.6111,UNIVERSALITY-PARTIAL
20,Projection-Neutral,PerturbationUniversalityTesting,0.6076,0.5902,0.5742,0.5667,0.5679,0.561,0.5763,UNIVERSALITY-DEGRADING
24,Projection-Neutral,PerturbationUniversalityTesting,0.5553,0.5502,0.5467,0.5225,0.5177,0.5181,0.5367,UNIVERSALITY-DEGRADING
32,Projection-Neutral,PerturbationUniversalityTesting,0.501,0.4872,0.4627,0.4741,0.4639,0.4663,0.4605,UNIVERSALITY-DEGRADING
40,Projection-Neutral,PerturbationUniversalityTesting,0.4482,0.4211,0.4243,0.4233,0.4239,0.4126,0.4255,UNIVERSALITY-FAILED
48,Projection-Neutral,PerturbationUniversalityTesting,0.4014,0.3935,0.3897,0.3733,0.379,0.3795,0.3862,UNIVERSALITY-FAILED
64,Projection-Neutral,PerturbationUniversalityTesting,0.3348,0.3232,0.3197,0.3266,0.3116,0.3242,0.3238,UNIVERSALITY-FAILED
80,Projection-Neutral,PerturbationUniversalityTesting,0.2949,0.2828,0.2789,0.272,0.2717,0.2691,0.2775,UNIVERSALITY-FAILED
96,Projection-Neutral,PerturbationUniversalityTesting,0.2547,0.2472,0.2445,0.2472,0.2464,0.2374,0.2469,UNIVERSALITY-FAILED
128,Projection-Neutral,PerturbationUniversalityTesting,0.2069,0.1971,0.1955,0.2001,0.1976,0.1954,0.2008,UNIVERSALITY-FAILED
160,Projection-Neutral,PerturbationUniversalityTesting,0.1717,0.1695,0.1672,0.1626,0.1589,0.1647,0.164,UNIVERSALITY-FAILED
192,Projection-Neutral,PerturbationUniversalityTesting,0.1505,0.1424,0.1453,0.1385,0.1401,0.1406,0.1439,UNIVERSALITY-FAILED
256,Projection-Neutral,PerturbationUniversalityTesting,0.1188,0.1128,0.1119,0.1093,0.1077,0.109,0.1104,UNIVERSALITY-FAILED
320,Projection-Neutral,PerturbationUniversalityTesting,0.0948,0.0947,0.0916,0.0906,0.0897,0.0908,0.0914,UNIVERSALITY-FAILED
512,Projection-Neutral,PerturbationUniversalityTesting,0.0636,0.0598,0.0587,0.0603,0.0578,0.0592,0.0597,UNIVERSALITY-FAILED
1,Projection-Neutral,ResilienceScalingPersistence,0.885,0.8762,0.8698,0.8374,0.8231,0.8566,0.8652,UNIVERSALITY-STABLE
2,Projection-Neutral,ResilienceScalingPersistence,0.8593,0.8415,0.8403,0.8312,0.8209,0.8256,0.8178,UNIVERSALITY-STABLE
4,Projection-Neutral,ResilienceScalingPersistence,0.8052,0.8201,0.8075,0.7888,0.7935,0.7807,0.8055,UNIVERSALITY-STABLE
6,Projection-Neutral,ResilienceScalingPersistence,0.7748,0.7522,0.7622,0.7535,0.7316,0.746,0.759,UNIVERSALITY-BOUNDED
8,Projection-Neutral,ResilienceScalingPersistence,0.7532,0.7312,0.7349,0.7252,0.6915,0.7062,0.7327,UNIVERSALITY-BOUNDED
12,Projection-Neutral,ResilienceScalingPersistence,0.6742,0.6739,0.6676,0.6561,0.6542,0.6436,0.6545,UNIVERSALITY-PARTIAL
16,Projection-Neutral,ResilienceScalingPersistence,0.6436,0.6235,0.6034,0.5971,0.6127,0.6156,0.6075,UNIVERSALITY-PARTIAL
20,Projection-Neutral,ResilienceScalingPersistence,0.6022,0.582,0.5788,0.5781,0.5615,0.5554,0.5761,UNIVERSALITY-DEGRADING
24,Projection-Neutral,ResilienceScalingPersistence,0.5584,0.5502,0.5232,0.5227,0.5184,0.5325,0.5308,UNIVERSALITY-DEGRADING
32,Projection-Neutral,ResilienceScalingPersistence,0.4861,0.4753,0.482,0.4729,0.4646,0.4749,0.4755,UNIVERSALITY-DEGRADING
40,Projection-Neutral,ResilienceScalingPersistence,0.4498,0.433,0.4277,0.4253,0.4061,0.4217,0.4318,UNIVERSALITY-FAILED
48,Projection-Neutral,ResilienceScalingPersistence,0.395,0.3815,0.3807,0.3882,0.372,0.3735,0.3785,UNIVERSALITY-FAILED
64,Projection-Neutral,ResilienceScalingPersistence,0.3338,0.3332,0.3187,0.3234,0.3204,0.3147,0.3271,UNIVERSALITY-FAILED
80,Projection-Neutral,ResilienceScalingPersistence,0.29,0.2872,0.2799,0.2783,0.279,0.272,0.2816,UNIVERSALITY-FAILED
96,Projection-Neutral,ResilienceScalingPersistence,0.2504,0.253,0.2504,0.2395,0.2384,0.247,0.2503,UNIVERSALITY-FAILED
128,Projection-Neutral,ResilienceScalingPersistence,0.2085,0.1985,0.1963,0.1932,0.1915,0.1938,0.1987,UNIVERSALITY-FAILED
160,Projection-Neutral,ResilienceScalingPersistence,0.1702,0.1662,0.1648,0.167,0.165,0.1647,0.1697,UNIVERSALITY-FAILED
192,Projection-Neutral,ResilienceScalingPersistence,0.1468,0.1431,0.1467,0.1428,0.1406,0.1395,0.1444,UNIVERSALITY-FAILED
256,Projection-Neutral,ResilienceScalingPersistence,0.1171,0.113,0.1126,0.1084,0.1094,0.112,0.1118,UNIVERSALITY-FAILED
320,Projection-Neutral,ResilienceScalingPersistence,0.0975,0.0929,0.0936,0.0914,0.09,0.0909,0.0919,UNIVERSALITY-FAILED
512,Projection-Neutral,ResilienceScalingPersistence,0.0628,0.0609,0.06,0.0585,0.0583,0.0598,0.059,UNIVERSALITY-FAILED
1,Projection-Neutral,NullUniversalityControl,0.7016,0.6956,0.6889,0.7073,0.6734,0.6744,0.6921,UNIVERSALITY-PARTIAL
2,Projection-Neutral,NullUniversalityControl,0.6696,0.6682,0.6595,0.674,0.6297,0.6516,0.6662,UNIVERSALITY-PARTIAL
4,Projection-Neutral,NullUniversalityControl,0.6576,0.662,0.6325,0.6502,0.631,0.591,0.6421,UNIVERSALITY-PARTIAL
6,Projection-Neutral,NullUniversalityControl,0.6049,0.6128,0.6127,0.614,0.5753,0.5791,0.592,UNIVERSALITY-PARTIAL
8,Projection-Neutral,NullUniversalityControl,0.5975,0.602,0.5646,0.5811,0.5602,0.5531,0.571,UNIVERSALITY-DEGRADING
12,Projection-Neutral,NullUniversalityControl,0.5472,0.5542,0.524,0.5258,0.5084,0.4972,0.5289,UNIVERSALITY-DEGRADING
16,Projection-Neutral,NullUniversalityControl,0.5061,0.4995,0.5074,0.4917,0.4896,0.4821,0.4818,UNIVERSALITY-DEGRADING
20,Projection-Neutral,NullUniversalityControl,0.4732,0.4525,0.4494,0.4617,0.4561,0.4404,0.4521,UNIVERSALITY-DEGRADING
24,Projection-Neutral,NullUniversalityControl,0.4327,0.438,0.4192,0.4405,0.4083,0.4163,0.4254,UNIVERSALITY-FAILED
32,Projection-Neutral,NullUniversalityControl,0.3822,0.3786,0.3716,0.3838,0.3673,0.3545,0.3802,UNIVERSALITY-FAILED
40,Projection-Neutral,NullUniversalityControl,0.3442,0.3534,0.3362,0.3395,0.3293,0.3287,0.3399,UNIVERSALITY-FAILED
48,Projection-Neutral,NullUniversalityControl,0.3107,0.3075,0.3048,0.317,0.2915,0.2892,0.3001,UNIVERSALITY-FAILED
64,Projection-Neutral,NullUniversalityControl,0.2662,0.2648,0.2602,0.2662,0.2474,0.2527,0.2521,UNIVERSALITY-FAILED
80,Projection-Neutral,NullUniversalityControl,0.232,0.2264,0.2192,0.2317,0.2135,0.2128,0.2162,UNIVERSALITY-FAILED
96,Projection-Neutral,NullUniversalityControl,0.205,0.203,0.1944,0.2053,0.1904,0.1869,0.1948,UNIVERSALITY-FAILED
128,Projection-Neutral,NullUniversalityControl,0.1606,0.162,0.163,0.1653,0.1563,0.1559,0.1535,UNIVERSALITY-FAILED
160,Projection-Neutral,NullUniversalityControl,0.135,0.1378,0.1321,0.1345,0.1302,0.1296,0.1298,UNIVERSALITY-FAILED
192,Projection-Neutral,NullUniversalityControl,0.117,0.117,0.1161,0.1139,0.1124,0.1123,0.1137,UNIVERSALITY-FAILED
256,Projection-Neutral,NullUniversalityControl,0.0921,0.0913,0.0916,0.0928,0.0858,0.0866,0.0896,UNIVERSALITY-FAILED
320,Projection-Neutral,NullUniversalityControl,0.0767,0.0728,0.0734,0.0735,0.0733,0.0707,0.0713,UNIVERSALITY-FAILED
512,Projection-Neutral,NullUniversalityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,ScaleRescalingInvariance,0.8902,0.867,0.862,0.8427,0.8196,0.8469,0.8266,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,ScaleRescalingInvariance,0.902,0.8628,0.8293,0.8289,0.8097,0.8225,0.8147,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,ScaleRescalingInvariance,0.8388,0.7994,0.7885,0.7673,0.7863,0.7883,0.793,UNIVERSALITY-BOUNDED
6,Antisymmetry-Neutral,ScaleRescalingInvariance,0.7944,0.7773,0.7562,0.7585,0.7297,0.7352,0.7374,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,ScaleRescalingInvariance,0.7791,0.7356,0.7482,0.7002,0.7105,0.6988,0.7046,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,ScaleRescalingInvariance,0.7082,0.6853,0.6636,0.6661,0.6481,0.6345,0.6574,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,ScaleRescalingInvariance,0.6546,0.6373,0.6134,0.6034,0.6111,0.6119,0.6143,UNIVERSALITY-PARTIAL
20,Antisymmetry-Neutral,ScaleRescalingInvariance,0.599,0.5745,0.5881,0.5742,0.5673,0.559,0.5731,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,ScaleRescalingInvariance,0.5716,0.5574,0.5429,0.5269,0.5175,0.5177,0.5348,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,ScaleRescalingInvariance,0.5046,0.4912,0.4844,0.4716,0.4621,0.4573,0.4738,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,ScaleRescalingInvariance,0.4484,0.4381,0.4291,0.4216,0.4139,0.4243,0.4231,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,ScaleRescalingInvariance,0.4017,0.3966,0.3957,0.3873,0.3752,0.3751,0.3893,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,ScaleRescalingInvariance,0.3506,0.3379,0.3354,0.3213,0.3217,0.3135,0.3149,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,ScaleRescalingInvariance,0.2909,0.288,0.2851,0.2803,0.2777,0.2735,0.2736,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,ScaleRescalingInvariance,0.2634,0.2525,0.2479,0.2422,0.2444,0.2413,0.2403,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,ScaleRescalingInvariance,0.2078,0.2032,0.2057,0.2009,0.1901,0.1955,0.1989,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,ScaleRescalingInvariance,0.177,0.1672,0.1679,0.1669,0.16,0.1651,0.1654,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,ScaleRescalingInvariance,0.1488,0.15,0.143,0.1397,0.1417,0.1427,0.144,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,ScaleRescalingInvariance,0.1188,0.1155,0.1126,0.1087,0.1099,0.1081,0.1132,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,ScaleRescalingInvariance,0.098,0.0953,0.0919,0.0907,0.092,0.0916,0.0926,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,ScaleRescalingInvariance,0.0638,0.0626,0.0597,0.0604,0.0595,0.0584,0.0585,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,UniversalityClassExtraction,0.8985,0.8679,0.8746,0.8584,0.8297,0.8284,0.8538,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,UniversalityClassExtraction,0.8831,0.8686,0.8388,0.8244,0.816,0.8027,0.8285,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,UniversalityClassExtraction,0.8578,0.813,0.8129,0.7919,0.7862,0.7612,0.7951,UNIVERSALITY-STABLE
6,Antisymmetry-Neutral,UniversalityClassExtraction,0.8051,0.8006,0.764,0.7644,0.7616,0.7564,0.7475,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,UniversalityClassExtraction,0.7633,0.7478,0.7329,0.7336,0.7096,0.6926,0.734,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,UniversalityClassExtraction,0.7151,0.6942,0.6633,0.6599,0.646,0.6453,0.668,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,UniversalityClassExtraction,0.6504,0.649,0.6294,0.6116,0.5945,0.6033,0.6101,UNIVERSALITY-PARTIAL
