depth,sector,condition,rg_similarity,conservation_stability,invariant_preservation_index,redistribution_coherence,recursive_conservation_persistence,attractor_conservation_alignment,universality_conservation_score,classification
6,Projection-Antisymmetry,NullConservationControl,0.6326,0.6257,0.6322,0.6351,0.6098,0.5993,0.6261,CONSERVATION-DEGRADING
8,Projection-Antisymmetry,NullConservationControl,0.6142,0.6138,0.5991,0.5982,0.5935,0.583,0.5788,CONSERVATION-DEGRADING
12,Projection-Antisymmetry,NullConservationControl,0.5557,0.5483,0.5629,0.5617,0.5431,0.5449,0.54,CONSERVATION-DEGRADING
16,Projection-Antisymmetry,NullConservationControl,0.5382,0.5311,0.5314,0.5185,0.5109,0.4924,0.4954,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,NullConservationControl,0.4841,0.501,0.4804,0.4955,0.4741,0.4769,0.4646,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,NullConservationControl,0.4522,0.4652,0.4528,0.4547,0.4301,0.4238,0.4587,CONSERVATION-FAILED
32,Projection-Antisymmetry,NullConservationControl,0.4091,0.401,0.4162,0.4107,0.4041,0.3817,0.3911,CONSERVATION-FAILED
40,Projection-Antisymmetry,NullConservationControl,0.3789,0.3731,0.3756,0.3714,0.3608,0.3574,0.3569,CONSERVATION-FAILED
48,Projection-Antisymmetry,NullConservationControl,0.3506,0.3413,0.3326,0.3305,0.3166,0.3108,0.3252,CONSERVATION-FAILED
64,Projection-Antisymmetry,NullConservationControl,0.2915,0.2819,0.281,0.2869,0.2692,0.2673,0.2731,CONSERVATION-FAILED
80,Projection-Antisymmetry,NullConservationControl,0.2482,0.2478,0.2486,0.2466,0.2417,0.2338,0.2461,CONSERVATION-FAILED
96,Projection-Antisymmetry,NullConservationControl,0.2291,0.2272,0.2197,0.2255,0.2142,0.2102,0.2116,CONSERVATION-FAILED
128,Projection-Antisymmetry,NullConservationControl,0.1841,0.1842,0.1746,0.1776,0.1731,0.1684,0.1786,CONSERVATION-FAILED
160,Projection-Antisymmetry,NullConservationControl,0.149,0.1531,0.1518,0.1535,0.142,0.1402,0.1494,CONSERVATION-FAILED
192,Projection-Antisymmetry,NullConservationControl,0.13,0.1345,0.1317,0.131,0.1271,0.12,0.1239,CONSERVATION-FAILED
256,Projection-Antisymmetry,NullConservationControl,0.1063,0.1032,0.1031,0.1015,0.1001,0.0981,0.102,CONSERVATION-FAILED
320,Projection-Antisymmetry,NullConservationControl,0.0836,0.0865,0.0858,0.0849,0.0817,0.0781,0.0831,CONSERVATION-FAILED
512,Projection-Antisymmetry,NullConservationControl,0.0546,0.0538,0.0537,0.0545,0.0528,0.0533,0.0522,CONSERVATION-FAILED
768,Projection-Antisymmetry,NullConservationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,RecursiveConservationTracking,0.9241,0.8737,0.8842,0.8663,0.8277,0.8497,0.8397,CONSERVATION-STABLE
2,Projection-Neutral,RecursiveConservationTracking,0.879,0.8838,0.8558,0.8253,0.829,0.812,0.8247,CONSERVATION-STABLE
4,Projection-Neutral,RecursiveConservationTracking,0.8573,0.8268,0.8204,0.7995,0.8035,0.7949,0.8094,CONSERVATION-BOUNDED
6,Projection-Neutral,RecursiveConservationTracking,0.83,0.7874,0.7805,0.7683,0.7573,0.758,0.7616,CONSERVATION-BOUNDED
8,Projection-Neutral,RecursiveConservationTracking,0.7823,0.7497,0.7539,0.7215,0.7424,0.7163,0.7396,CONSERVATION-PARTIAL
12,Projection-Neutral,RecursiveConservationTracking,0.7344,0.7224,0.7038,0.6953,0.6635,0.6766,0.6832,CONSERVATION-PARTIAL
16,Projection-Neutral,RecursiveConservationTracking,0.6813,0.6727,0.6381,0.6273,0.6225,0.64,0.634,CONSERVATION-DEGRADING
20,Projection-Neutral,RecursiveConservationTracking,0.649,0.6249,0.6196,0.6003,0.5801,0.5927,0.6051,CONSERVATION-DEGRADING
24,Projection-Neutral,RecursiveConservationTracking,0.6013,0.5897,0.5843,0.5602,0.5524,0.554,0.5587,CONSERVATION-DEGRADING
32,Projection-Neutral,RecursiveConservationTracking,0.546,0.5232,0.5215,0.5063,0.4933,0.4847,0.5095,CONSERVATION-DEGRADING
40,Projection-Neutral,RecursiveConservationTracking,0.4877,0.4687,0.4531,0.4414,0.4454,0.4476,0.4432,CONSERVATION-FAILED
48,Projection-Neutral,RecursiveConservationTracking,0.4405,0.4204,0.4238,0.4061,0.3973,0.4064,0.4195,CONSERVATION-FAILED
64,Projection-Neutral,RecursiveConservationTracking,0.3704,0.3639,0.3644,0.3465,0.3526,0.3463,0.3515,CONSERVATION-FAILED
80,Projection-Neutral,RecursiveConservationTracking,0.3305,0.315,0.3134,0.3066,0.2938,0.2975,0.3061,CONSERVATION-FAILED
96,Projection-Neutral,RecursiveConservationTracking,0.2828,0.2787,0.2716,0.2719,0.2664,0.2615,0.263,CONSERVATION-FAILED
128,Projection-Neutral,RecursiveConservationTracking,0.2366,0.2213,0.2234,0.217,0.2107,0.2153,0.2212,CONSERVATION-FAILED
160,Projection-Neutral,RecursiveConservationTracking,0.196,0.1868,0.1881,0.1831,0.1812,0.1788,0.185,CONSERVATION-FAILED
192,Projection-Neutral,RecursiveConservationTracking,0.1718,0.1654,0.1607,0.1603,0.1565,0.1556,0.1581,CONSERVATION-FAILED
256,Projection-Neutral,RecursiveConservationTracking,0.1363,0.1268,0.126,0.124,0.123,0.1233,0.1259,CONSERVATION-FAILED
320,Projection-Neutral,RecursiveConservationTracking,0.108,0.1076,0.1067,0.1007,0.1027,0.1014,0.1029,CONSERVATION-FAILED
512,Projection-Neutral,RecursiveConservationTracking,0.0706,0.0695,0.0694,0.0664,0.0668,0.0655,0.0678,CONSERVATION-FAILED
768,Projection-Neutral,RecursiveConservationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,InvariantRedistributionAnalysis,0.9291,0.873,0.8972,0.8628,0.8438,0.8269,0.8518,CONSERVATION-STABLE
2,Projection-Neutral,InvariantRedistributionAnalysis,0.9179,0.8497,0.8614,0.8337,0.8219,0.8401,0.8334,CONSERVATION-BOUNDED
4,Projection-Neutral,InvariantRedistributionAnalysis,0.8792,0.8153,0.8154,0.8275,0.7916,0.7967,0.8037,CONSERVATION-BOUNDED
6,Projection-Neutral,InvariantRedistributionAnalysis,0.8342,0.8112,0.7922,0.766,0.7624,0.7632,0.7912,CONSERVATION-BOUNDED
8,Projection-Neutral,InvariantRedistributionAnalysis,0.786,0.7668,0.7496,0.7603,0.7394,0.74,0.7303,CONSERVATION-PARTIAL
12,Projection-Neutral,InvariantRedistributionAnalysis,0.7507,0.7148,0.7039,0.6912,0.6696,0.6613,0.6999,CONSERVATION-PARTIAL
16,Projection-Neutral,InvariantRedistributionAnalysis,0.681,0.6448,0.6665,0.6572,0.6326,0.6199,0.6544,CONSERVATION-DEGRADING
20,Projection-Neutral,InvariantRedistributionAnalysis,0.6519,0.6232,0.6182,0.5904,0.5999,0.5875,0.6149,CONSERVATION-DEGRADING
24,Projection-Neutral,InvariantRedistributionAnalysis,0.5948,0.5751,0.5824,0.5757,0.5643,0.5436,0.5679,CONSERVATION-DEGRADING
32,Projection-Neutral,InvariantRedistributionAnalysis,0.5395,0.5085,0.5095,0.4982,0.4935,0.5035,0.5069,CONSERVATION-DEGRADING
40,Projection-Neutral,InvariantRedistributionAnalysis,0.4901,0.4679,0.461,0.4578,0.4419,0.4494,0.4543,CONSERVATION-FAILED
48,Projection-Neutral,InvariantRedistributionAnalysis,0.4443,0.4237,0.4169,0.4074,0.4034,0.4151,0.4137,CONSERVATION-FAILED
64,Projection-Neutral,InvariantRedistributionAnalysis,0.3814,0.3669,0.3594,0.3593,0.3515,0.3449,0.3499,CONSERVATION-FAILED
80,Projection-Neutral,InvariantRedistributionAnalysis,0.3272,0.311,0.3099,0.3101,0.3082,0.3003,0.3117,CONSERVATION-FAILED
96,Projection-Neutral,InvariantRedistributionAnalysis,0.2922,0.2759,0.2722,0.2733,0.2659,0.2636,0.2746,CONSERVATION-FAILED
128,Projection-Neutral,InvariantRedistributionAnalysis,0.2383,0.2262,0.229,0.2256,0.2201,0.2184,0.2184,CONSERVATION-FAILED
160,Projection-Neutral,InvariantRedistributionAnalysis,0.1949,0.1898,0.1883,0.1868,0.1842,0.1782,0.1839,CONSERVATION-FAILED
192,Projection-Neutral,InvariantRedistributionAnalysis,0.1728,0.1636,0.1628,0.1582,0.1574,0.1552,0.1589,CONSERVATION-FAILED
256,Projection-Neutral,InvariantRedistributionAnalysis,0.1365,0.1307,0.1313,0.1264,0.1246,0.1223,0.1236,CONSERVATION-FAILED
320,Projection-Neutral,InvariantRedistributionAnalysis,0.109,0.108,0.1071,0.1034,0.1025,0.1013,0.1057,CONSERVATION-FAILED
512,Projection-Neutral,InvariantRedistributionAnalysis,0.0714,0.0697,0.0697,0.0671,0.0675,0.0667,0.0678,CONSERVATION-FAILED
768,Projection-Neutral,InvariantRedistributionAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,PerturbationConservationRecovery,0.8885,0.8679,0.8658,0.8922,0.8643,0.8414,0.85,CONSERVATION-STABLE
2,Projection-Neutral,PerturbationConservationRecovery,0.8762,0.8573,0.8486,0.8473,0.8136,0.829,0.8207,CONSERVATION-BOUNDED
4,Projection-Neutral,PerturbationConservationRecovery,0.8294,0.8334,0.793,0.8078,0.8027,0.7976,0.8058,CONSERVATION-BOUNDED
6,Projection-Neutral,PerturbationConservationRecovery,0.7971,0.7861,0.7654,0.792,0.7489,0.746,0.7754,CONSERVATION-BOUNDED
8,Projection-Neutral,PerturbationConservationRecovery,0.7667,0.7676,0.7346,0.7384,0.716,0.7109,0.7241,CONSERVATION-PARTIAL
12,Projection-Neutral,PerturbationConservationRecovery,0.7382,0.694,0.6808,0.6917,0.6864,0.6578,0.6755,CONSERVATION-PARTIAL
16,Projection-Neutral,PerturbationConservationRecovery,0.659,0.645,0.6463,0.6479,0.6436,0.6352,0.6364,CONSERVATION-DEGRADING
20,Projection-Neutral,PerturbationConservationRecovery,0.6422,0.6186,0.6061,0.6191,0.5825,0.57,0.583,CONSERVATION-DEGRADING
24,Projection-Neutral,PerturbationConservationRecovery,0.5904,0.5742,0.5733,0.5802,0.5577,0.5383,0.5619,CONSERVATION-DEGRADING
32,Projection-Neutral,PerturbationConservationRecovery,0.5202,0.5224,0.5041,0.5178,0.4971,0.4993,0.5059,CONSERVATION-DEGRADING
40,Projection-Neutral,PerturbationConservationRecovery,0.4795,0.4645,0.4491,0.4611,0.4514,0.4431,0.4547,CONSERVATION-FAILED
48,Projection-Neutral,PerturbationConservationRecovery,0.4284,0.4206,0.4197,0.4129,0.4028,0.3948,0.4172,CONSERVATION-FAILED
64,Projection-Neutral,PerturbationConservationRecovery,0.3706,0.3647,0.3492,0.3594,0.3433,0.3375,0.3529,CONSERVATION-FAILED
80,Projection-Neutral,PerturbationConservationRecovery,0.3244,0.3174,0.3137,0.3176,0.2939,0.2935,0.3065,CONSERVATION-FAILED
96,Projection-Neutral,PerturbationConservationRecovery,0.2811,0.2803,0.2773,0.2747,0.2603,0.2585,0.2728,CONSERVATION-FAILED
128,Projection-Neutral,PerturbationConservationRecovery,0.2344,0.2251,0.2238,0.2249,0.2205,0.2152,0.221,CONSERVATION-FAILED
160,Projection-Neutral,PerturbationConservationRecovery,0.1931,0.1868,0.182,0.1903,0.1776,0.1821,0.182,CONSERVATION-FAILED
192,Projection-Neutral,PerturbationConservationRecovery,0.1701,0.1634,0.1632,0.1622,0.1574,0.1522,0.1559,CONSERVATION-FAILED
256,Projection-Neutral,PerturbationConservationRecovery,0.1343,0.1273,0.1281,0.1256,0.1206,0.1217,0.1275,CONSERVATION-FAILED
320,Projection-Neutral,PerturbationConservationRecovery,0.1096,0.1041,0.1034,0.1037,0.1037,0.102,0.1006,CONSERVATION-FAILED
512,Projection-Neutral,PerturbationConservationRecovery,0.0717,0.0672,0.069,0.0678,0.0658,0.0662,0.0684,CONSERVATION-FAILED
768,Projection-Neutral,PerturbationConservationRecovery,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,TransportConservationPersistence,0.9206,0.8967,0.8808,0.8439,0.8855,0.8439,0.8805,CONSERVATION-STABLE
2,Projection-Neutral,TransportConservationPersistence,0.8798,0.857,0.8611,0.8525,0.829,0.8081,0.8318,CONSERVATION-STABLE
4,Projection-Neutral,TransportConservationPersistence,0.8627,0.8199,0.8363,0.7825,0.8146,0.7951,0.8227,CONSERVATION-BOUNDED
6,Projection-Neutral,TransportConservationPersistence,0.8205,0.7881,0.7693,0.7698,0.7709,0.7606,0.7878,CONSERVATION-BOUNDED
8,Projection-Neutral,TransportConservationPersistence,0.7981,0.7575,0.765,0.7248,0.733,0.7164,0.7524,CONSERVATION-BOUNDED
12,Projection-Neutral,TransportConservationPersistence,0.7262,0.7037,0.7069,0.6778,0.6905,0.6743,0.6862,CONSERVATION-PARTIAL
16,Projection-Neutral,TransportConservationPersistence,0.6704,0.6495,0.6452,0.644,0.6553,0.6069,0.6512,CONSERVATION-DEGRADING
20,Projection-Neutral,TransportConservationPersistence,0.6207,0.616,0.6073,0.5941,0.6149,0.5824,0.6085,CONSERVATION-DEGRADING
24,Projection-Neutral,TransportConservationPersistence,0.5883,0.5705,0.5605,0.5693,0.5692,0.5377,0.5691,CONSERVATION-DEGRADING
32,Projection-Neutral,TransportConservationPersistence,0.53,0.5114,0.5105,0.5081,0.4984,0.4982,0.5135,CONSERVATION-DEGRADING
40,Projection-Neutral,TransportConservationPersistence,0.4827,0.4643,0.4596,0.4485,0.4651,0.4398,0.451,CONSERVATION-FAILED
48,Projection-Neutral,TransportConservationPersistence,0.4334,0.4332,0.4243,0.4086,0.4152,0.3959,0.4247,CONSERVATION-FAILED
64,Projection-Neutral,TransportConservationPersistence,0.3647,0.3667,0.3587,0.3501,0.3472,0.3382,0.3584,CONSERVATION-FAILED
80,Projection-Neutral,TransportConservationPersistence,0.3289,0.318,0.3077,0.3072,0.3063,0.3024,0.3002,CONSERVATION-FAILED
96,Projection-Neutral,TransportConservationPersistence,0.2911,0.2826,0.2736,0.2703,0.2737,0.2627,0.2777,CONSERVATION-FAILED
128,Projection-Neutral,TransportConservationPersistence,0.2371,0.2249,0.2202,0.2155,0.2202,0.2093,0.2175,CONSERVATION-FAILED
160,Projection-Neutral,TransportConservationPersistence,0.1934,0.1875,0.1905,0.185,0.185,0.1757,0.1833,CONSERVATION-FAILED
192,Projection-Neutral,TransportConservationPersistence,0.1685,0.1656,0.1588,0.1595,0.1634,0.1522,0.1587,CONSERVATION-FAILED
256,Projection-Neutral,TransportConservationPersistence,0.1309,0.1266,0.1303,0.1253,0.1272,0.1208,0.1237,CONSERVATION-FAILED
320,Projection-Neutral,TransportConservationPersistence,0.1079,0.1051,0.1031,0.101,0.1053,0.0996,0.1059,CONSERVATION-FAILED
512,Projection-Neutral,TransportConservationPersistence,0.0716,0.0688,0.0688,0.0677,0.0665,0.0646,0.0692,CONSERVATION-FAILED
768,Projection-Neutral,TransportConservationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,AttractorLinkedConservationMapping,0.9133,0.8691,0.8472,0.8486,0.8417,0.8737,0.8477,CONSERVATION-BOUNDED
2,Projection-Neutral,AttractorLinkedConservationMapping,0.8863,0.8446,0.8273,0.8487,0.8308,0.8302,0.845,CONSERVATION-BOUNDED
4,Projection-Neutral,AttractorLinkedConservationMapping,0.8503,0.8154,0.7938,0.8042,0.8071,0.7948,0.8029,CONSERVATION-BOUNDED
6,Projection-Neutral,AttractorLinkedConservationMapping,0.8147,0.7996,0.7638,0.7634,0.7661,0.767,0.7796,CONSERVATION-BOUNDED
8,Projection-Neutral,AttractorLinkedConservationMapping,0.7852,0.7668,0.761,0.7496,0.7137,0.7251,0.726,CONSERVATION-BOUNDED
12,Projection-Neutral,AttractorLinkedConservationMapping,0.7158,0.7123,0.7031,0.6766,0.6686,0.6837,0.6831,CONSERVATION-PARTIAL
16,Projection-Neutral,AttractorLinkedConservationMapping,0.6832,0.6384,0.6344,0.6274,0.6305,0.6251,0.6289,CONSERVATION-DEGRADING
20,Projection-Neutral,AttractorLinkedConservationMapping,0.6361,0.5965,0.6115,0.5934,0.5874,0.6083,0.6078,CONSERVATION-DEGRADING
24,Projection-Neutral,AttractorLinkedConservationMapping,0.5869,0.5661,0.5699,0.572,0.5541,0.5707,0.5661,CONSERVATION-DEGRADING
32,Projection-Neutral,AttractorLinkedConservationMapping,0.5296,0.5153,0.5057,0.5083,0.4969,0.4984,0.5058,CONSERVATION-DEGRADING
40,Projection-Neutral,AttractorLinkedConservationMapping,0.4731,0.4666,0.4477,0.4596,0.454,0.4423,0.4571,CONSERVATION-FAILED
48,Projection-Neutral,AttractorLinkedConservationMapping,0.4357,0.4231,0.425,0.4025,0.415,0.4176,0.4041,CONSERVATION-FAILED
64,Projection-Neutral,AttractorLinkedConservationMapping,0.366,0.3652,0.3456,0.3532,0.3502,0.3544,0.3424,CONSERVATION-FAILED
80,Projection-Neutral,AttractorLinkedConservationMapping,0.3187,0.3151,0.3074,0.3003,0.301,0.3074,0.305,CONSERVATION-FAILED
96,Projection-Neutral,AttractorLinkedConservationMapping,0.2878,0.2786,0.2692,0.2699,0.2705,0.2714,0.2648,CONSERVATION-FAILED
128,Projection-Neutral,AttractorLinkedConservationMapping,0.2339,0.2261,0.2172,0.2218,0.2145,0.2165,0.2185,CONSERVATION-FAILED
160,Projection-Neutral,AttractorLinkedConservationMapping,0.1893,0.1901,0.1828,0.1852,0.1857,0.1839,0.1846,CONSERVATION-FAILED
192,Projection-Neutral,AttractorLinkedConservationMapping,0.1663,0.1602,0.1624,0.1562,0.1545,0.1575,0.1551,CONSERVATION-FAILED
256,Projection-Neutral,AttractorLinkedConservationMapping,0.1307,0.1293,0.1285,0.1275,0.1248,0.1252,0.1268,CONSERVATION-FAILED
320,Projection-Neutral,AttractorLinkedConservationMapping,0.1062,0.1047,0.1041,0.1015,0.1011,0.1041,0.1012,CONSERVATION-FAILED
512,Projection-Neutral,AttractorLinkedConservationMapping,0.0703,0.068,0.0694,0.0656,0.0665,0.0673,0.0675,CONSERVATION-FAILED
768,Projection-Neutral,AttractorLinkedConservationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,ScaleIndependentConservationTesting,0.91,0.8604,0.8697,0.8416,0.873,0.835,0.8733,CONSERVATION-STABLE
2,Projection-Neutral,ScaleIndependentConservationTesting,0.863,0.8651,0.8288,0.8269,0.8345,0.8271,0.8394,CONSERVATION-BOUNDED
4,Projection-Neutral,ScaleIndependentConservationTesting,0.8212,0.814,0.7918,0.8097,0.8154,0.779,0.822,CONSERVATION-BOUNDED
6,Projection-Neutral,ScaleIndependentConservationTesting,0.7973,0.7723,0.7669,0.7686,0.7806,0.7354,0.7871,CONSERVATION-BOUNDED
8,Projection-Neutral,ScaleIndependentConservationTesting,0.7838,0.7504,0.7413,0.7379,0.7428,0.7324,0.7589,CONSERVATION-PARTIAL
12,Projection-Neutral,ScaleIndependentConservationTesting,0.7201,0.7067,0.6886,0.6864,0.6872,0.6821,0.6955,CONSERVATION-PARTIAL
16,Projection-Neutral,ScaleIndependentConservationTesting,0.6713,0.6602,0.6472,0.6253,0.6386,0.6276,0.6495,CONSERVATION-DEGRADING
20,Projection-Neutral,ScaleIndependentConservationTesting,0.6162,0.6196,0.6117,0.5968,0.5952,0.5856,0.6131,CONSERVATION-DEGRADING
24,Projection-Neutral,ScaleIndependentConservationTesting,0.5968,0.5838,0.56,0.5604,0.5476,0.5544,0.5674,CONSERVATION-DEGRADING
32,Projection-Neutral,ScaleIndependentConservationTesting,0.5124,0.5172,0.5003,0.4955,0.5059,0.4824,0.503,CONSERVATION-DEGRADING
40,Projection-Neutral,ScaleIndependentConservationTesting,0.4783,0.4567,0.4535,0.4556,0.4615,0.4357,0.4653,CONSERVATION-FAILED
48,Projection-Neutral,ScaleIndependentConservationTesting,0.4257,0.4164,0.4147,0.4186,0.4025,0.3978,0.4112,CONSERVATION-FAILED
64,Projection-Neutral,ScaleIndependentConservationTesting,0.3607,0.3637,0.36,0.3495,0.3479,0.3413,0.3515,CONSERVATION-FAILED
80,Projection-Neutral,ScaleIndependentConservationTesting,0.3228,0.3135,0.3047,0.297,0.2969,0.2961,0.3137,CONSERVATION-FAILED
96,Projection-Neutral,ScaleIndependentConservationTesting,0.2849,0.2711,0.2661,0.2721,0.2744,0.268,0.2797,CONSERVATION-FAILED
128,Projection-Neutral,ScaleIndependentConservationTesting,0.2237,0.2246,0.2251,0.2223,0.2204,0.2112,0.2246,CONSERVATION-FAILED
160,Projection-Neutral,ScaleIndependentConservationTesting,0.1928,0.1889,0.1861,0.1795,0.1818,0.1789,0.1848,CONSERVATION-FAILED
192,Projection-Neutral,ScaleIndependentConservationTesting,0.163,0.1641,0.164,0.155,0.1623,0.1533,0.1634,CONSERVATION-FAILED
256,Projection-Neutral,ScaleIndependentConservationTesting,0.1283,0.1269,0.1261,0.1249,0.1221,0.1223,0.1248,CONSERVATION-FAILED
320,Projection-Neutral,ScaleIndependentConservationTesting,0.1099,0.1062,0.1041,0.1019,0.1024,0.1009,0.1029,CONSERVATION-FAILED
512,Projection-Neutral,ScaleIndependentConservationTesting,0.0715,0.0698,0.0682,0.0661,0.0662,0.0641,0.0671,CONSERVATION-FAILED
768,Projection-Neutral,ScaleIndependentConservationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Neutral,NullConservationControl,0.6989,0.7243,0.7083,0.7199,0.6673,0.6504,0.6855,CONSERVATION-PARTIAL
2,Projection-Neutral,NullConservationControl,0.6978,0.7018,0.698,0.6904,0.6424,0.6386,0.675,CONSERVATION-PARTIAL
4,Projection-Neutral,NullConservationControl,0.6657,0.6741,0.6625,0.6711,0.6425,0.6075,0.6379,CONSERVATION-PARTIAL
6,Projection-Neutral,NullConservationControl,0.6237,0.6241,0.6379,0.6287,0.6045,0.5825,0.6176,CONSERVATION-DEGRADING
8,Projection-Neutral,NullConservationControl,0.6086,0.6061,0.5833,0.593,0.5703,0.57,0.5734,CONSERVATION-DEGRADING
12,Projection-Neutral,NullConservationControl,0.5798,0.5579,0.5454,0.5694,0.5342,0.5237,0.5475,CONSERVATION-DEGRADING
16,Projection-Neutral,NullConservationControl,0.5186,0.5339,0.523,0.5199,0.5053,0.4805,0.4955,CONSERVATION-DEGRADING
20,Projection-Neutral,NullConservationControl,0.5087,0.4805,0.4821,0.4855,0.4797,0.4564,0.4739,CONSERVATION-FAILED
24,Projection-Neutral,NullConservationControl,0.4588,0.4583,0.4514,0.4561,0.4493,0.4442,0.4443,CONSERVATION-FAILED
32,Projection-Neutral,NullConservationControl,0.4216,0.4059,0.4013,0.4221,0.3986,0.3892,0.3937,CONSERVATION-FAILED
40,Projection-Neutral,NullConservationControl,0.3662,0.3808,0.3609,0.3781,0.3465,0.3605,0.3538,CONSERVATION-FAILED
48,Projection-Neutral,NullConservationControl,0.3322,0.3417,0.3309,0.343,0.3159,0.3161,0.3309,CONSERVATION-FAILED
64,Projection-Neutral,NullConservationControl,0.2891,0.2879,0.2812,0.2806,0.2707,0.2664,0.2778,CONSERVATION-FAILED
80,Projection-Neutral,NullConservationControl,0.2484,0.2504,0.2515,0.2463,0.2418,0.2324,0.2447,CONSERVATION-FAILED
96,Projection-Neutral,NullConservationControl,0.2293,0.2196,0.2184,0.2254,0.2147,0.2043,0.2183,CONSERVATION-FAILED
128,Projection-Neutral,NullConservationControl,0.1827,0.1787,0.1811,0.1833,0.1735,0.1683,0.1781,CONSERVATION-FAILED
160,Projection-Neutral,NullConservationControl,0.1548,0.1497,0.1531,0.1519,0.1456,0.1391,0.147,CONSERVATION-FAILED
192,Projection-Neutral,NullConservationControl,0.1334,0.1283,0.1275,0.1325,0.1231,0.1224,0.1237,CONSERVATION-FAILED
256,Projection-Neutral,NullConservationControl,0.1016,0.1014,0.1011,0.1015,0.1013,0.0997,0.1012,CONSERVATION-FAILED
320,Projection-Neutral,NullConservationControl,0.0847,0.086,0.0822,0.084,0.0819,0.0785,0.0823,CONSERVATION-FAILED
512,Projection-Neutral,NullConservationControl,0.0553,0.0568,0.0545,0.0554,0.0522,0.0522,0.0542,CONSERVATION-FAILED
768,Projection-Neutral,NullConservationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry-Neutral,RecursiveConservationTracking,0.9143,0.9008,0.8748,0.8717,0.8435,0.8554,0.8549,CONSERVATION-STABLE
2,Antisymmetry-Neutral,RecursiveConservationTracking,0.8954,0.8467,0.8472,0.8356,0.8362,0.8236,0.8547,CONSERVATION-BOUNDED
4,Antisymmetry-Neutral,RecursiveConservationTracking,0.8488,0.8269,0.8126,0.814,0.793,0.7781,0.8169,CONSERVATION-BOUNDED
6,Antisymmetry-Neutral,RecursiveConservationTracking,0.8174,0.795,0.7983,0.7495,0.7675,0.7512,0.7722,CONSERVATION-BOUNDED
8,Antisymmetry-Neutral,RecursiveConservationTracking,0.7867,0.7587,0.7496,0.7469,0.7145,0.7145,0.7213,CONSERVATION-PARTIAL
12,Antisymmetry-Neutral,RecursiveConservationTracking,0.7171,0.7046,0.6981,0.6807,0.6632,0.6657,0.6864,CONSERVATION-PARTIAL
16,Antisymmetry-Neutral,RecursiveConservationTracking,0.6771,0.6566,0.6476,0.6246,0.6372,0.632,0.6222,CONSERVATION-DEGRADING
20,Antisymmetry-Neutral,RecursiveConservationTracking,0.633,0.6069,0.6225,0.5913,0.5759,0.5926,0.593,CONSERVATION-DEGRADING
24,Antisymmetry-Neutral,RecursiveConservationTracking,0.61,0.5836,0.5743,0.5507,0.556,0.5534,0.5543,CONSERVATION-DEGRADING
32,Antisymmetry-Neutral,RecursiveConservationTracking,0.5429,0.5169,0.5118,0.5092,0.4969,0.4998,0.4941,CONSERVATION-DEGRADING
40,Antisymmetry-Neutral,RecursiveConservationTracking,0.4748,0.4686,0.4682,0.4495,0.4491,0.4482,0.4615,CONSERVATION-FAILED
48,Antisymmetry-Neutral,RecursiveConservationTracking,0.4486,0.4319,0.4295,0.4107,0.4099,0.4013,0.4164,CONSERVATION-FAILED
64,Antisymmetry-Neutral,RecursiveConservationTracking,0.376,0.3637,0.3634,0.3538,0.3506,0.3434,0.3499,CONSERVATION-FAILED
80,Antisymmetry-Neutral,RecursiveConservationTracking,0.3251,0.3192,0.3106,0.3058,0.3043,0.2983,0.3083,CONSERVATION-FAILED
96,Antisymmetry-Neutral,RecursiveConservationTracking,0.284,0.2729,0.2713,0.2696,0.2633,0.2609,0.2656,CONSERVATION-FAILED
128,Antisymmetry-Neutral,RecursiveConservationTracking,0.2314,0.2246,0.2264,0.2171,0.2187,0.2128,0.2202,CONSERVATION-FAILED
160,Antisymmetry-Neutral,RecursiveConservationTracking,0.1977,0.188,0.1882,0.1795,0.1833,0.1837,0.1845,CONSERVATION-FAILED
192,Antisymmetry-Neutral,RecursiveConservationTracking,0.1711,0.1673,0.1612,0.1591,0.1532,0.1591,0.1571,CONSERVATION-FAILED
256,Antisymmetry-Neutral,RecursiveConservationTracking,0.132,0.1291,0.1271,0.1219,0.1258,0.1221,0.1226,CONSERVATION-FAILED
320,Antisymmetry-Neutral,RecursiveConservationTracking,0.1101,0.1045,0.1047,0.1034,0.1026,0.103,0.1014,CONSERVATION-FAILED
